id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21977,,,,,,x,,How about my comment at the end? 'Also; I'm suspicious of the logic for handling parent markup containers in AutoLinkResolver. It uses 'if' instead of 'while.' What if the autolink was two levels up in the inheritance hierarchy? I think that it should walk the parent links until it finds a null; not just check the first one.',very same issue,WICKET-1634 is the same issue (including a patch); so this one can be closed; too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22097,,,,,,,,seems like all subtask as resolved,kitten captcha is intended for inclusion into Wicket; and is attached for ip-clearance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11834,,,,,,,,Still happens to me. Steps to duplicate: 1. Start IE5.5 on Win2k - open java console from the 'view' menu. 2. Download xalan-j_2_2_D11.tar.gz to server. 3. tar xzf xalan-j_2_2_D11.tar.gz (extract to location on a webserver - for me this was /home/httpd/html) 4. navigate to http://SERVER/xalan- j_2_2_D11/samples/AppletXMLtoHTML/appletXMLtoHTML.html,Should have been fixed in OutputProperties.java r1.14 on 21-May-01,I don't think you covered all of the offending calls to System.getProperty(). Specifically; you did not catch SecurityException in the org.apache.xalan.templates.OutputProperties.loadPropertiesFile() method.,Fixed a while back by cmanolache and curcuru in several checkins: we should be catching SecurityException anyplace we call System.getProperty with a potentially out-of-sandbox property.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33264,,,,,,,,Assign to 1.0 during tidy up prior to 1.1,I think that this is now fixed. Individual top level composites are assembled separately; and resolution of cross composite references is left to the responsibility of the particular bindings. This new design; by not trying to establish in memory model pointers between independent composites; removes the issues that we were seeing before when we had these pointers in place. In other words; we do not need to update these pointers anymore when independent composites are added/removed/updated; because these pointers do not exist anymore :),Huang; I agree that we need to re-resolve existing components but I'm not sure that this needs to be done in a separate thread. What did you have in mind with threading? For now; I have added support for incremental building of an SCA domain; with the ability to build a domain; add a composite to it; rebuild the domain. The newly added components will be able to target component services already in place in the domain. If my proposal for incremental building (committed under revision 558740) suits everybody's requirements; we should be able to follow the same pattern to add support for: 1. invalidating components that are wired to component services being removed from a domain 2. handle composite updates by doing a remove + add 3. handle composite updates in a less disruptive way as long as the component services that they contribute do not change,åÊåÊåÊåÊHow about re-resolving the original and newly added components in a seperate thread; and replace all the old components when the resolvement is done. åÊåÊåÊåÊMy rough thought is: Clone all the components; and do the rewiring work in the cloned compnents; but keep all the implementationProvider/bindingProvider/scopeContainer refer to the same instance to keep their states unchanged.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20803,,,,,,,,this will be tackled when we improve ajax; most likely in wicket.next or the version after that.,@Igor: Please read this bug comments too. It's already well established that generateCallbackScript completes the string. It's just nasty and uncontained. Consider the alternative I proposed.,generateCallbackScript() completes the fragment with the missing closing ),making changes to this can only be done in 1.5; because this results in api breaks. The thing is that getCallbackScript and generateCallbackScript could be really just 1 method.. Except i guess that some do use generate standalone But if you have a nice patch that would result in the same thing please attach it.,OK; so this string is an unmatched JS function invocation by design. That is just nasty. How about you convert it to something safe and correct like generateCallbackScript(String function; String... args) ? Then you'd do: {code} protected CharSequence getCallbackScript(boolean onlyTargetActivePage) { return generateCallbackScript('wicketAjaxGet'; getCallbackUrl(onlyTargetActivePage)); } {code} Immediately fixing the potentially broken inject-an-arbitrary-string-in-a-literally-quoted-value too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23837,,,,,,,,Closing since Whirr was updated to jclouds 1.5.0 in WHIRR-659.,Should this issue be closed? Whirr 0.8.0 was released with a dependency on 1.5.0-beta.10. I've created WHIRR-666; asking for an upgrade to jclouds 1.5.1; ideally in Whirr 0.8.1. Or is the intent to keep this sole issue open until there is a whirr stable release that depends on a final jclouds 1.5.x release?,1,tiny patch to bump to jclouds 1.5.0-beta.11 now that it's in Maven Central.,1.5.0-beta.10 in now Committed revision 1374393.,1,updated with spot price fix and tests,updated to fix paul's error,after applying this patch; please execute: svn rm --force ./core/src/main/java/org/apache/whirr/service/jclouds/TemplateBuilderStrategy.java ./core/src/test/java/org/apache/whirr/service/TemplateBuilderStrategyTest.java,replacement for previous patch,I'm recutting this patch. 10m,The following patch adds whirr.template parameter which can override all the other image; hardware; location; or login-user parameters Note; I also implemented it for the undocumented group-based parameters as templates.group.template,For use with the following test repo. Please report back to http://code.google.com/p/jclouds/issues/detail?id=1068 when done! <repository> <id>jclouds-staging</id> <url>https://oss.sonatype.org/content/repositories/orgjclouds-039</url> <releases> <enabled>true</enabled> </releases> <snapshots> <enabled>false</enabled> </snapshots> </repository>,bumped to jclouds 1.5.0-beta.9 Committed revision 1369253.,jclouds 1.5 isn't released; yet; so let's keep this open to track any updates based on betas; release candidates; etc,Marking this as fixed. Thanks guys!,tested with jclouds 1.5.0-beta.8 recently synced to maven central. committed WHIRR-593-mk5.patch as revision 1365445 Thanks; Andrei; Cosmin & Andrew for writing this. Thanks; Tom for checking!,This looks good to me. +1 pending beta-8.,New patch rolling out the noPassword() change and bumping the jclouds dependency to the as-yet-unreleased-but-coming-today 1.5.0-beta.8; which has the needed fix on the jclouds side.,can you try removing the .noPassword() and using jclouds 1.5.0-SNAPSHOT? I think the following commit should sort that: https://github.com/jclouds/jclouds/commit/9d007a40b726bb3de492a947d83b98ddced872a5 If that works; I can cut 1.5.0-beta.8 tomorrow.,Latest patch ( WHIRR-593-mk4.patch) incorporates everything so far. I switched to .noPassword() instead of .password(null); since that seemed more correct. I'm more wary on rackspace next-gen than I was earlier - it seems to still have some issues with launching/tearing down instances in some contexts; but I'm not sure if that's just my account or what. Otherwise; PhaseExecutionBarrierTest passes on cloudservers-us and aws-ec2. Hadoop and ZK tests pass on both as well.,And fyi; I'm able to run against rackspace-cloudservers-us just as well as against anything else; so we've got openstack support. =),Ah; and I'd already tried adding password(null) to ScriptBasedClusterAction. Seems like something is keeping a non-null password value there for cases where there was at some point a password - e.g.; cloudservers/cloudstack.,Hmmmm - I tried adding '.password(null)' to the LoginCredentials calls without it; in ClusterController; and that seems to have fixed the PhaseExecutionBarrierTest issues on cloudservers-us. Double-checking now.,I will try again later today and report back.,Hmm - I'm not actually seeing any test failures in services/hadoop or services/zookeeper against jclouds 1.5. Which specific tests are failing?,fwiw; it looked to me like Whirr was for some reason trying to use password authentication. It's claiming the rsa/sha1 fingerprints in jclouds-ssh.log; but the actual stacktrace refers to authPassword.,We need to find the root cause for those 'exhausted available authentication methods' on cloudservers-* before committing.,So what more do we need to do to get this in? The only problem I've still been seeing is that weird 'exhausted available authentication methods' one. Also; I see that Cosmin's patch (which for some reason I hadn't already applied) deals with FirewallManager's #(region) name; but not FirewallManagerTest - my patch did them both; but I'll just grab Cosmin's patch and add FirewallManagerTest to it.,Found an additional issue with security group naming - 1.5 doesn't append '#region' to EC2 security group names; so FirewallManager needed to be updated. This patch would go on top of the existing one.,fyi; I'm able to run hadoop and zk itests on CloudStack 3.0.3 (with a few tweaks I needed to deal with our CS setup being a bit strange).,Here's my jclouds ssh log for running PhaseExecutionBarrierTest on Rackspace in case someone finds it helpful. I see that it's ssh-ing in as root for the boostrap phase (that works fine); but for the configure phase it's ssh-ing in as my user (and fails). As I said before; it seems odd because I'm able to manually ssh as my user.,Here's a quick summary with some of the stuff I've been trying in the hopes that it might be useful for people: PhaseExecutionBarrierTest passes on AWS but no VM ever shows up in the AWS web console. I tried this in different regions and the result is the same. Here's the test output. Running this on rackspace produces 'Exhausted available authentication methods'. Here's the test output. Was able to tell it to use my ssh key from ~/.ssh as opposed to the random one but still no luck. Looking in the debugger; it seems like it's using the correct key. Also; I was able to ssh to the rackspace machine after the test failed so this kind of indicates that the key it was using was indeed correct even though it's complaining. Not having a catch clause here seems a bit worrying but testing showed that no exception was being thrown anyway.,not sure. I'll run jclouds regression test on cloudservers-us first and see if all ok,On cloudservers-us it fails with 'Exhausted available authentication methods'. Any ideas on what's different from jclouds 1.4.0?,Hadoop itests work fine aws-ec2. Still testing on cloudservers-us.,Reviewing now. I will try the Hadoop itests.,Here's a new version of the patch that fixes the failing ZooKeeper integration tests. This worked for me when testing against AWS. It's changing the naming convention used for some environment variables and removes the region name from the security group name.,I've just tried the itests from core - they fail on cloudservers-us but work file on aws-ec2.,And with 1.5; it's hanging. Hopefully it'll time out and tell me why it's hanging at some point. =),I just verified ZK working on trunk with 1.4; trying now with 1.5...,p.s. I used the following with zookeeper on version 0.7 today. Otherwise; it didn't work (ex. crash/burn) --image-id=us-west-1/ami-33fda576 --location-id=us-west-1,fwiw; I'm getting a failure in the Cassandra itests; but I'm getting that with 1.4 or 1.5.,Builds fine but I get a failure when running the ZooKeeper itests. I am investigating.,Please help test this patch! Note that jclouds 1.5 gives the following new providers and apis; so probably worth your while to help cloudstack (version 3.03) greenqloud-compute (carbon neutral service) joyentcloud (smartos) openstack-nova (essex),1.4.0 is not a stable release compared to 1.5. I'll help make a patch; especially as I have a demo in a couple days at uberconf!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28338,,,,,,,,added fixVersion,reopened for fixVersion,This problem won't be fixed. First; the encoding is not yet linked to the engine nor to the launching. Second; UIMA-2256 will make this change redundant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15914,x,,,,x,,,Oppss... sorry late reply.... Thx for handling this issue Claus. I prefered it to be the way it is now; document this behaviour as Claus already did. I think there might be both behaviour have its particular usage; if we want to have a param that is a string; it makes sense to use <param>...</param>; anything in between that's enclosed with %{} will be evaluated and its toString() called. On the other hand; if we want an object; we could used the value attribute. I guess what i'm trying to say is that both way of using param have their own usage. Of course this is just my 2 cents,Updatede tag documentation. If we need to align the tag as a consistent behaviour for both situations we should reopen this and schedule it for a 2.3 or future version where we need to give 3rd party tag developers the change to validate their tags if we change it in WW.,Okay I have updated Param.java with a note section about the two situations outlined by Toby (1) and (2).,Rainer As I have little real life WW experience I can only voice as an outsider. I would expect the tags to work excatly the same way using both usages. It's just a preference how you write XML. If we have a migration guide we could write that this behavior is changed. As the 2.2.2 release is out of the door soon; we could keep as it is and write comments in the javadoc; wiki about this odd behavior. And for 2.3 we could fix it.,Toby; Claus; what are your suggestions on this? My expectation would be; that both usages behave similar or it should be clearly outlined in the docs (wiki AND javadocs) pointing out the difference... What do you think?,Hi Toby Yeah I agree that breaking old components is dangerous. And does the unit test really cover all these situations? WW code coverage is < 40%. Yes I would be nice the hear others opinions and if anyone had a real use-case with this situation. And I really think the two different situations should be documented in the javadoc for the .class and at wiki docs. For a user this could be a hard defect to track down.,Hi Claus; Currently they are not working in the same way actually. If we change them it might break some components.... but then we have our little test case to check against.... > And I guess % { ... } expression should always be evaluated. I think it is evaluated in both case; just that in once case it is evaluated to a String while the other to object. I am not sure if we should change the current behaviour... maybe we could post this in the forum and see what others think about it. What do you think?,@tm Should both situations 1+2 not work excatly the same way? Otherwise users will get confued; I for sure would. And I guess % { ... } expression should always be evaluated.,If not mistaken <param>someThing</param> ----- (1) <param value='anotherThing'/> ---- (2) In (1); it would be evaluated to the stack as String while in (2) it will be evaluated to the stack as object. I guess; if one needs it as string then (1) could be used; it is possible to have eg. <param>hello % {user.name} </param> where user.name will be evaluated to the stack and its string value appended. If it works this way; i don't think it is a bug.,Is this still an issue? I cannot find that code in ParamTag. I see something in that type into Param; but it looks oke to me. ./alex _x0089_ÛÒ .w( the_mindstorm )p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46878,,,,,,,,Bryan; I agree on the folder structure change. This surely will break existing code. For your other point; it isn't really necessary that's right but in my opinion it fits much better in the Rails 'convention over configuration' principle. FYI; we are using those changes successfully in all our thrift sub-projects (we are having 5 of them).,I don't disagree that generating the folder structure to match the namespace structure is a good idea; but that is a breaking change; so I wonder if that shouldn't be in it's own issue and patch instead of under this one. For what it's worth; we use Thrift objects in Rails too; but we just require them in environment.rb. Is it important for the autoloading to pick up Thrift objects?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57398,,,,,,,,Marking as Resolved in 4.2.0 _x0089_ÛÒ I couldn't reproduce it even there. Will close once we create a regression test; or a full-blown test for the utility.,Disabled formatting to make stack trace more readable.,I can't reproduce this with gcc 4.1.2 on Linux. The following command completes successfully: $ cat >charmap<<EOF && cat >locale.src<<EOF && ../bin/localedef -c -w -f charmap -i locale.src dummy && LC_TIME=dummy ../bin/locale -ck LC_TIME CHARMAP END CHARMAP EOF LC_TIME day 'Sun';'Mon';'Tue' END LC_TIME EOF  ...with the following output: LC_TIME abday='';'';'';'';'';'';'' day='Sun';'Mon';'Tue';'';'';'';'' abmon='';'';'';'';'';'';'';'';'';'';'';'' mon='';'';'';'';'';'';'';'';'';'';'';'' am_pm='';'' d_t_fmt='' d_fmt='' t_fmt='' t_fmt_ampm='' era='' era_d_t_fmt='' era_d_fmt='' era_t_fmt='' alt_digits='' END LC_TIME,Lowered Priority to Trivial (the error occurs on ill-formed input) and deferred until after 4.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33963,,,,,,,,Assign to 1.0 during tidy up prior to 1.1,Fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23357,,,,,,,,It is just resolved in 2.0 and the changes for 1.x have been committed at the same moment. The dot: you'll find that the xml parser is not a general purpose xml parser complying to all details of xml. It doesn't have to. It just implements what is sufficient for Wicket. If only if there is a real need to implement an additional detail; than we'll do it. The dot; though in the spec; is nowhere used. So why bother and implement,Juergen; why do you close the issue so quickly? It's not applied to branch 1.x; and its' not even fixed properly in trunk. Did you see that I attached a patch and that I assigned this issue to myself? There is not only the hyphen; there is also the dot that is missing. And naming it VARIABLE_NAME2 is very dubious.,XML_NAME must not contain the colon,Updated patch; NCNameChar does not have the ':' sign See http://www.w3.org/TR/REC-xml-names/#NT-QName,Fixed in 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18736,,,,,,,,You miss some logic: var e = Wicket.$(id); available++; if (e === null) { i.e. if there is an entry for a date picker in the DOM but there is no HTML element for it then the DOM entry is deleted too.,If I understand the patch correctly; you destroy all calendar instances at the end of any ajax activity on the page? E.g. when I have two calendars and select date in one of them; the other one will not even open when clicked?,Martin; I have thought of something like this. åÊåÊåÊåÊåÊvar destroyInternal = function (toDestroy) { if (toDestroy && toDestroy.length > 1) { var i = 0; while (toDestroy.length > 0) { var name = toDestroy.pop(); try { if (YAHOO.wicket[name]) { // this is expensive. YAHOO.wicket[name].destroy(); delete YAHOO.wicket[name]; } } catch (e) { if (Wicket.Log) { Wicket.Log.error(e); } } i++; if (i === 20) { break; } } if(toDestroy.length > 0) { setTimeout(function(){destroyInternal(toDestroy);}; 500); } } }; So move the åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊif(toDestroy.length > 0) { setTimeout(function(){destroyInternal(toDestroy);}; 500); } out of the cycle. The 500 above is because YAHOO.wicket[name].destroy(); seems to be very expensive and if done 'in one go' browser might 'freeze'. Do you know a better way to prevents that? The if (Wicket.DateTime.isDestroying) was a leftover of trying to make this script 'single instance at a time'.,The JSLint warning is solved.,I've pushed an improved version of your patch. Please test that I didn't break it. I've made the functions private. Is there a reason they should be reachable from other scripts ? Additionally I see : if (Wicket.DateTime.isDestroying) { There is no property Wicket.DateTime.isDestroying defined. I guess it should be set in #destroy() and unset in #internalDestroy() ? And grunt reports one jslint warning: Linting wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/wicket-date.js...ERROR [L349:C71] Don't make functions within a loop. åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsetTimeout(function(){destroyInternal(toDestroy);}; 5); Do you see a way to avoid it ?,"'""JavaScript only' patch""",No; we haven't measured 1.5 vs. 6.x. I've used jsperf.com to decide what jQuery solution to use for some particular need in 6.x.,Martin; Yes you are right... that would be a much cleaner solution. So register an '/ajax/call/complete' listener that calls Wicket.DateTime.destroy(). I derived this solution form a private extension of DatePicker (for 1.4.x) that does more things: e.g. collect all all info of all date pickers to be added (in an AJAX request cycle) and issue a single eval to build all of them... which is far more efficient than many evaluations (at least on 1.4.x). So; it was just a matter of adding the additional 'cleaner code' to listener. I will add a new patch with suggested solution. By the way. On the sample projects attached AJAX repainting of the whole table for 6.x takes less than 1 second (steadily; even without the clean up fix) while for 1.5.x it takes t > 7 with t growing with each table navigation. Do you have measured how much faster is AJAX on wicket 6.x than on previous versions (on average)? Cheers. Ernesto,Isn't is better to use a global listener that triggers on '/ajax/call/complete' and checks for existence for the date picker DOM element and if not - removes all JS objects related to it ? Something like https://github.com/apache/wicket/blob/master/wicket-core/src/main/java/org/apache/wicket/ajax/res/js/wicket-ajax-jquery.js#L2495 I find it much simpler.,patch for 6.0.x,quickstart for 1.5.x,quickstart for 6.x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45651,,,,,,,,Integrated in Thrift #533 (See https://builds.apache.org/job/Thrift/533/) Thrift-1701:node.js TBufferedTransport buffer corruption Patch: Marshall Roch fix buffer copy method calls (Revision 1389517) Result = SUCCESS,I think you have a good point and I'm committing it but it unfortunately doesn't fix the TBufferedTransport. e.g. thrift/test/nodejs$ timeout 2 make server & sleep 1; make client only runs one or two tests before stopping/crashing when using TBufferedTransport.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24937,,,,,,,,Committed in rev 983396,I forgot to comment on the way chat initiation works. To chat with a contact from the web application; you have to left click with the mouse on the contact in the roster dialog and then a chat tab opens allowing bidirectional chat with the contact. If the contact starts a chat with you; and you don't have a chat tab opened; then the chat tab will automatically open allowing for chatting with the contact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74448,,,,,,,,Closing this one since it doesn't fit in with the current caja integration anymore.,Marking unassigned to indicate that nobody is actively working on this issue. Anyone interested in helping the project should should consider working on this issue.,To add a little more detail; I believe Casie is saying that the gadgets.* <--> Caja bindings are not yet implemented; while the opensocial.* <--> Caja bindings are implemented.,The issue isn't as simple as just requiring the caja library right now. Work needs to be done to 'allow' the gadgets api calls in caja. I can work on this soon as it will require some integration with the opensocial caja modifications. (Although; some one can feel free to add a patch if you know what to do!),Anything we can do to minimize the work needed by a developer to support Caja is a very good thing. Furthermore as Caja improves; we'll be able to Cajole more and more gadgets without developer modifications. If that Gadget can become Cajoled without the author having to work on it; that would be great. What concerns me is that many of the Caja failures are likely to be at run time instead of compile time. So should a gadget author have the ability to ask for their gadget not to be Cajoled incase they know it doesn't work? If don't give that option; we may need to monitor Caja runtime failures and fall back to the iFrame for certain gadgets.,This isn't the case. Passing &caja=1 will cajole the gadget. opensocial-samplecontainer does some black magic to make it appear to work and do the right thing; but what it's really doing is not how it should work in prod. The remaining outstanding issue with cajoling right now is that passing &caja=1 does the cajoling process; but it does not pull in the necessary javascript libraries. To do that we must either make caja a core js library or force a <Require feature='caja'>. The latter is easier; but I'm not sure it's the way that we ultimately want things to work. For testing purposes you can manually add <Require feature='caja'/> to the gadget and modify the iframe url to add &caja=1. I'll modify the title of this to better address the core of the problem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
