id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,
409,,,,,,,,I'm backporting this to 3.4 and 3.3 branches. --Michi,It works well. Forget my comment which mixed with local change.,... or not. --Michi,Looks like changing extern inline to static inline introduced some other compilation error. --Michi,If using static inline in hashtable_itr.h; we may want to delete same definition in hashtable_itr.c. Otherwise we got these errors ‰ÛÓ src/c/src/hashtable/hashtable_itr.c:45: error: redefinition of 'hashtable_iterator_key' src/c/src/hashtable/hashtable_itr.h:36: note: previous definition of 'hashtable_iterator_key' was here src/c/src/hashtable/hashtable_itr.c:49: error: redefinition of 'hashtable_iterator_value' src/c/src/hashtable/hashtable_itr.h:45: note: previous definition of 'hashtable_iterator_value' was here ‰ÛÓ,Integrated in ZooKeeper-trunk #1539 (See https://builds.apache.org/job/ZooKeeper-trunk/1539/) ZOOKEEPER-1339. C client doesn't build with --enable-debug (Eric Liang via michim) (Revision 1331246) Result = SUCCESS michim : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1331246 Files : /zookeeper/trunk/CHANGES.txt /zookeeper/trunk/src/c/src/hashtable/hashtable_itr.h,Thank you guys.,Hi Eric; The patch looks good. I'll check this in. Thanks! --Michi,Hi Michi; A new version patch was submitted following your suggestions; please check it. Regards; Eric,strip additional slashes in previous patch,Hi Eric; Sorry I meant extra slashes. You probably need to use --no-prefix option.  git diff --no-prefix > my.patch  To verify that the patch applies cleanly; go to the top directory in svn and run:  patch -p0 < my.patch  Thanks! --Michi,Hi Michi; Thanks for your reply. Would you mind to explain something about the 'extra lines'? I just changed the two related lines and generated the patch by git command; no manual operations. Regards; Eric,Hi Eric; Good catch! It looks like gcc doesn't inline when -O0 is given (which is the case with --enable-debug); and it doesn't compile extern inline functions by themselves. Using static inline is the right way to go. http://gcc.gnu.org/onlinedocs/gcc/Inline.html The patch isn't applying because it includes some extra lines. Could you update the patch? Thanks! --Michi,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12520450/0001-fix-undefined-reference-in-issue-1339.patch against trunk revision 1330043. +1 @author. The patch does not contain any @author tags. -1 tests included. The patch doesn't appear to include any new or modified tests. Please justify why no new tests are needed for this patch. Also please list what manual steps were performed to verify this patch. -1 patch. The patch command could not apply the patch. Console output: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/1051//console This message is automatically generated.,Probably a incorrect inline usage; change the extern inline to static inline looks fix this; see the patch.,From 62a9cb6951370bb70d8a1953f85a9667ceb84cff Mon Sep 17 00:00:00 2001 From: Eric Liang <eric.l.2046@gmail.com> Date: Fri; 30 Mar 2012 00:09:36 +0800 Subject: [PATCH] fix undefined-reference in issue 1339 ‰ÛÓ src/c/src/hashtable/hashtable_itr.h | 4 ++-- 1 files changed; 2 insertions; 2 deletions diff --git a/src/c/src/hashtable/hashtable_itr.h b/src/c/src/hashtable/hashtable_itr.h index 234d3e3..30379c7 100644 ‰ÛÓ a/src/c/src/hashtable/hashtable_itr.h +++ b/src/c/src/hashtable/hashtable_itr.h @@ -32;7 +32;7 @@ hashtable_iterator(struct hashtable *h); /* hashtable_iterator_key - return the value of the (key;value) pair at the current position */ -extern inline void * +static inline void * hashtable_iterator_key(struct hashtable_itr *i) { return i->e->k; @@ -41;7 +41;7 @@ hashtable_iterator_key(struct hashtable_itr *i) /*****************************************************************************/ /* value - return the value of the (key;value) pair at the current position */ -extern inline void * +static inline void * hashtable_iterator_value(struct hashtable_itr *i) { return i->e->v; ‰ÛÒ 1.7.0.4,Probably a incorrect inline usage; change the extern inline to static inline looks fix this; see the patch.,Probably a incorrect inline usage; change the extern inline to static inline looks fix this; see the patch.,Same happens on 3.4.2,Happens for me on trunk as well. Unfortunately am not sure what causes those bad references.,
69146,,,,,,,,The fix currently transform the input source to a DOMSource. We could also handle differently a SAXSource.,The fact that it works for a particular implementation does not implies that it will for all. As the javadoc says the source should be a SAX or DOM one; i'll ensure that this is the case.,I think that the java doc is wrong ! Here is the code I tested and run perfectly !!! SchemaFactory factory = SchemaFactory.newInstance(XMLConstants.W3C_XML_SCHEMA_NS_URI); // Load a WXS schema; represented by a Schema instance. Source schemaFile = new StreamSource(new File('D:/ri.xsd')); Schema schema = factory.newSchema(schemaFile); // Create a Validator object; which can be used to validate // an instance document. Validator validator = schema.newValidator(); validator.validate(new StreamSource(new FileReader('D:/ri.xml')));,yes - from http://java.sun.com/j2se/1.5.0/docs/api/javax/xml/validation/Validator.html 'Note that while the validate(javax.xml.transform.Source) and validate(javax.xml.transform.Source; javax.xml.transform.Result) methods take a Source instance; the Source instance must be a SAXSource or DOMSource',Are you sure about this ?? The Validation class accepts a Source object. Check http://java.sun.com/developer/technicalArticles/xml/validationxpath/ for more details.,I agree; the ValidateComponent SHOULD support all the Source subclasses - but it doesn't. As I said the ValidateComponent uses a javax.xml.validation.Validator which doesn't support StreamSource.,I donå«t think that this is an issue. The StreamSource could be an XML too. I think that the ValidateComponent SHOULD support the different Source subclasses. The validation is about to decide whether the content is all right or not.,,,,,,,,,,,,,,
15914,x,,,,x,,,Oppss... sorry late reply.... Thx for handling this issue Claus. I prefered it to be the way it is now; document this behaviour as Claus already did. I think there might be both behaviour have its particular usage; if we want to have a param that is a string; it makes sense to use <param>...</param>; anything in between that's enclosed with %{} will be evaluated and its toString() called. On the other hand; if we want an object; we could used the value attribute. I guess what i'm trying to say is that both way of using param have their own usage. Of course this is just my 2 cents,,,,,,,,,,,,,,,,,,,,
67301,x,x,,,,,,Very nice; thank you! Your pom works perfectly... I didn't think of adding the version tag there and ended up exporting * and then later add !org.w3c.dom and !javax.xml to prevent errors...,,,,,,,,,,,,,,,,,,,,
16927,,,,,,,,I'll update the javadoc accordingly.,No; you're right that it isn't WSS4J's fault how other programs use it. However; I find the X509_KEY_IDENTIFIER to be a non-standard extension made by WSS4J and I suggest it to be documented as such to lessen the probability that users of WSS4J uses it without knowing the implications. Regards åÊåÊMattias,It's not WSS4J's fault if other programs are calling the wrong API's...as Werner said; it must be using X509_KEY_IDENTIFIER instead of SKI_KEY_IDENTIFIER. The X.509 1.0 profile doesn't mandate using SKI as a KeyIdentifier; so it's perfectly acceptable to support the X509_KEY_IDENTIFIER behaviour.,The tool in question is SoapUI (www.soapui.org); and there aren't any way to set configure which key identifier type should be used. We should report this to them as well; but we'd still have a problem since our client uses yet another tool (from IBM I think) that seems to exhibit the same behavior and we also have other reasons to suspect it uses WSS4J internally. Anyway; in the 1.0 X.509 profile found at http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-x509-token-profile-1.0.pdf ; the use of an X.509 certificate is described as a ValueType for a BinarySecurityToken (Table 2) but not for a KeyIdentifier (Table 3); as far as I can see. Might I be looking in the wrong document? Regards; Mattias SjÌ¦lÌ©n,Just checked this: this is the WSS4J handler key identifier code 'X509KeyIdentifier'; the tool should use 'SKIKeyIdentifier' instead. Or; if the tool uses it programatically: WSConstants.SKI_KEY_IDENTIFIER instead of WSConstants.X509_KEY_IDENTIFIER The X509KeyIdentifier was defined in X509 profile of WS Security V1.0 (AFAIK not in 1.1 anymore) but this is backward compatibilty with 1.0 . Regards; Werner,WSS4J support several key identifier types; for example SKI (Subject Key Identifier); X509v3; thumbprint and others. It is the task of the software that uses WSS4J library to select the key identifier type; thus the 'Java based tool om Windows' sould set the correct parameters. Where do you (or the 'tool') specify which key identifier type (profile) to use? Regards; Werner 401-wss-soap-message-security-1.0#Base64Binary' > ValueType='http://docs.oasis-open.org/wss/2004/01/oasis-200401,Hi Mattias; I can't reproduce this issue. See for example the unit tests: http://svn.apache.org/repos/asf/webservices/wss4j/trunk/test/wssec/TestWSSecurityNew12.java These produce output along the lines of: <wsse:SecurityTokenReference wsu:Id='STR-D65376C797639C58E912453196845903'><wsse:KeyIdentifier EncodingType='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-soap-message-security-1.0#Base64Binary' ValueType='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-x509-token-profile-1.0#X509SubjectKeyIdentifier'>2DUoN4ppxJz/RNgcCDsJ4SocPdk=</wsse:KeyIdentifier></wsse:SecurityTokenReference> Can you attach the complete request message? What configuration are you using? Colm.,,,,,,,,,,,,,,
20296,,,,,,,,Integrated in Apache Wicket 1.4.x #436 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/436/]) åÊåÊåÊåÊWICKET-3413 FLAG_INHERITABLE_MODEL and default model change reset 'inherited model' flag if model changed and a new one is not IComponentInheritedModel,,,,,,,,,,,,,,,,,,,,
48779,x,,,,,,,Thanks for the issue / steps to resolve. Pretty much did what you said verbatim. (as it worked out on the other regexp issue),Kudos for this catch; i think i came accross this once or twice without recognizing it; thanks!,Here's what I did in our app; in an alternate asset service implementation class. I just copied AssetService and changed the static DateFormat to a static final ObjectPool from Commons-Pool. Specifically; I used a StackObjectPool; as it is simple and thread-safe: private static final ObjectPool CACHED_FORMAT_POOL = new StackObjectPool(new PoolableDateFormatFactory(CACHED_FORMAT; CACHED_FORMAT_LOCALE)); the PoolableObjectFactory used is just a simple class extending BasePoolableObjectFactory and taking the SimpleDateFormat constructor parameters as it's constructor parameters. It then returns new SimpleDateFormat instances as requested in makeObject(). The changes to AssetService.cachedResource() are only in the IF block for the modified-since header: if (header != null) { DateFormat format = null; try { format = (DateFormat) CACHED_FORMAT_POOL.borrowObject(); modify = format.parse(header).getTime(); } catch (ParseException e) { e.printStackTrace(); // original catch block } catch (Exception e) { throw new RuntimeException('error getting pooled date format'; e); } finally { if (format != null) { try { CACHED_FORMAT_POOL.returnObject(format); } catch (Exception e) { // ignore - no tear-down needed for returned objects; and the pool will just create a new one if it needs to. } } } } åÊ,,,,,,,,,,,,,,,,,,
80738,,,,,,x,,Rejected for 0.20. Allow me to clarify my position. I was prepared to accept this for 0.20. Right or wrong; it's by all accounts the dominant convention for similar .i files from other projects; and that's good enough for me. However! It depends on QPID-4207; and that's much too big change to dist metadata for our final release candidate. This will have to wait.,I disagree with Gordon. Generating bindings is a client development activity in my view. With the .i files exported in this way developing bindings is no longer restricted to those with access to the qpid tree; but the only requirement to develop a new client binding is the client include files. This strong decoupling is a very good thing from my point of view. Obviously you wouldn't export .i files that relate to individual bindings to the include files; but the .i that give the general typemaps that are useful for every binding and point at all the necessary include files seem like very good candidates for export to me.,Personally I find this odd. They are not needed for 'client development' in my view; but for generating the bindings. They are source components of the bindings not installable artefacts of the client library itself.,This is committed in r1420320. http://svn.apache.org/viewvc?view=revision&revision=1420320,,,,,,,,,,,,,,,,,
14237,,,,,,,,Resolving this issue as the original problem has been fixed. Please open a new ticket if you feel session invalidation should also be addressed.,After some thought; the above solution doesn't apply to concurrent AJAX requests from a single user where session invalidation wins. But I think this is more of an application design issue and not really a flaw in the framework.,Today; I would think most session invalidation logic is as follows (as described in http://struts.apache.org/2.0.11.1/docs/how-do-we-get-invalidate-the-session.html): // Attempt to invalidate the session if (getSession() instanceof SessionMap) { try { ((SessionMap) getSession()).invalidate(); } catch (IllegalStateException e) { log.error(e); } } Couldn't we doing something where the session invalidation is deferred? So instead of ((SessionMap) getSession()).invalidate(); we have getSession() .invalidate() which will defer invalidation until the end of the request; either by FilterDispatcher or by a ServletRequestListener.,The I18N interceptor in xwork 2.1.2 is now patched. The session object is synchronized; but this is mainly xwork may use other implementations than S2 SessionMap. However; I think we need to adjust the SessionMap to take care of invalid session exceptions.,MessageStoreInterceptor and many others share the same issue. ExecuteAndWaitInterceptor and TokenInterceptor both synchronize on the session map. I don't think synchronizing on the map will stop the container from invalidating the session between the two operations above. The SessionMap implementation contains a synchronized block on the real session object within the get; put and remove methods. The purpose of the Map is abstract the session; so shouldn't the SessionMap be exclusively responsible for ensuring an invalid session exception doesn't occur?,Would that really be enough though? Just because we synchronized on the object doesn't mean that any other code calling its methods would also be synchronized. I'm not sure the best solution here without leaking the session object specifics through the nice Map abstraction. Any ideas?,,,,,,,,,,,,,,,
29936,x,,,,,,,To test this; I used an aggregate AE with a CAS multiplier that declared getCasInstancesRequired()=5. If this AE is instantiated and run in a loop with earlier code it eats up roughly 10MB per iteration. No such leak with the latest code. Thanks!,I believe I've fixed this leak. Eddie; can you verify?,,,,,,,,,,,,,,,,,,,
