id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14237,,,,,,,,Resolving this issue as the original problem has been fixed. Please open a new ticket if you feel session invalidation should also be addressed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60912,,,x,x,,,,[branch_4x commit] Mark Robert Miller http://svn.apache.org/viewvc?view=revision&revision=1384969 SOLR-3527: SolrCmdDistributor drops some of the important commit attributes (maxOptimizeSegments; softCommit; expungeDeletes) when sending a commit to replicas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61974,,,,,,,,bulk close for 3.4,Committed for trunk and 3.x,Attaching final patch which will be committed shortly. Added better error handling.,Jan: +1,Has anyone got around to inspecting this patch? I'd like to get this into 3.3.,Bulk move 3.2 -> 3.3,Marking fo 3.2 since patch is ready,Hey Jan - putting this on my to-do list in the case that someone does not beat me to it. You have a variety of issues out there that I'd like to get to I think - sorry for the delay. You have been a fantastic addition to the project.,Anyone fancy testing this and consider for commit?,This new patch bumps version number to 1.4 and adds examples to the help of how to post csv; json and pdf,The solution was simple. Change the commit() method to do ?commit=true instead of posting as '<commit/>' Also cleaned up dead meat; added a -Doptimize=yes option and accepts -h and --help in addition to -help,It might not be a bug according to the original design intentions. But the first thing we tell users is to try out post.jar to post stuff; and now we've even included csv and json examples for it. Then it's unnecessary to get the error 'Solr returned an error #400 undefined field <commit/>' thrown in your face - the error does not even explain the problem. I'll try to assemble a first patch for this next week some time; adding a separate POST with ?commit=true after the last file is POSTed.,part of the reason it works the way it does now is that when commit=true it POSTs a single commit at the end of multiple file POSTs; if we use the param based commit it would either need to specify commit on all of them; or keep track of the last one only add the param there. Although only adding a 'commit' on the last update should be easy; we could also just do it via the URL. I believe posting '?commit=true' to update handlers w/o a body works?,post.jar has hardcoded assumptions about what URL you want to hit and how it should behave ‰ÛÒ if you want to change those assumptions there are documented params for changing it. -Durl=... and -Dcommit=false. if you want to post to something that isn't the XmlRequestHandler; you should specify -Dcommit=false; and then you can follow that with an explicit execution to commit... java -Durl=... -jar post.jar *.cssv java -jar post.jar part of the reason it works the way it does now is that when commit=true it POSTs a single commit at the end of multiple file POSTs; if we use the param based commit it would either need to specify commit on all of them; or keep track of the last one only add the param there. i don't object to changing post.jar to use a commit request param instead of sending the XML form; but this isn't a bug ‰ÛÒ it's working as it was intended.,Assume that all UpdateRequestHandlers support a GET parameter commit=true I think we should assume this; and fix anything where it doesn't work.,How would post.jar know the URL of the XmlUpdateRequestHandler? A) We could assume .*/solr/update as 99% would not modify the defaults? Or B) Assume that all UpdateRequestHandlers support a GET parameter commit=true In that case; we could append '?commit=true' to the given URL. I know for a fact that '/solr/update/csv?commit=true' will work,The commit could be snet at the end as a single xml document in a separate request if the content type of data is different.,Example:  lap:exampledocs janhoy$ java -Durl=http://localhost:8983/solr/update/csv -jar post.jar books.csv SimplePostTool: version 1.3 SimplePostTool: POSTing files to http://localhost:8983/solr/update/csv.. SimplePostTool: POSTing file books.csv SimplePostTool: COMMITting Solr index changes.. SimplePostTool: FATAL: Solr returned an error #400 undefined field <commit/>  The commit should be sent in a different way; problem is how to know where and how to send the commit in case of non-standard URLs; such as http://localhost:8983/solr/my/custom/updatehandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61660,,,,,,,,Variables specified in data config are also resolved with system properties so there is no reason anymore to configure DIH via solrconfig. Hence; the bug can be worked around by using dataconfig instead of configuring via solrconfig.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64407,,,,,,,,This bug was modified as part of a bulk update using the criteria... Marked ('Resolved' or 'Closed') and 'Fixed' Had no 'Fix Version' versions Was listed in the CHANGES.txt for 1.1 The Fix Version for all 38 issues found was set to 1.1; email notification was suppressed to prevent excessive email. For a list of all the issues modified; search jira comments for this (hopefully) unique string: 20080415hossman3,I just committed this. Thanks for the patch; and the tests!,initial version of patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18736,,,x,x,,,,You miss some logic: var e = Wicket.$(id); available++; if (e === null) { i.e. if there is an entry for a date picker in the DOM but there is no HTML element for it then the DOM entry is deleted too.,If I understand the patch correctly; you destroy all calendar instances at the end of any ajax activity on the page? E.g. when I have two calendars and select date in one of them; the other one will not even open when clicked?,Martin; I have thought of something like this. åÊåÊåÊåÊåÊvar destroyInternal = function (toDestroy) { if (toDestroy && toDestroy.length > 1) { var i = 0; while (toDestroy.length > 0) { var name = toDestroy.pop(); try { if (YAHOO.wicket[name]) { // this is expensive. YAHOO.wicket[name].destroy(); delete YAHOO.wicket[name]; } } catch (e) { if (Wicket.Log) { Wicket.Log.error(e); } } i++; if (i === 20) { break; } } if(toDestroy.length > 0) { setTimeout(function(){destroyInternal(toDestroy);}; 500); } } }; So move the åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊif(toDestroy.length > 0) { setTimeout(function(){destroyInternal(toDestroy);}; 500); } out of the cycle. The 500 above is because YAHOO.wicket[name].destroy(); seems to be very expensive and if done 'in one go' browser might 'freeze'. Do you know a better way to prevents that? The if (Wicket.DateTime.isDestroying) was a leftover of trying to make this script 'single instance at a time'.,The JSLint warning is solved.,I've pushed an improved version of your patch. Please test that I didn't break it. I've made the functions private. Is there a reason they should be reachable from other scripts ? Additionally I see : if (Wicket.DateTime.isDestroying) { There is no property Wicket.DateTime.isDestroying defined. I guess it should be set in #destroy() and unset in #internalDestroy() ? And grunt reports one jslint warning: Linting wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/wicket-date.js...ERROR [L349:C71] Don't make functions within a loop. åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsetTimeout(function(){destroyInternal(toDestroy);}; 5); Do you see a way to avoid it ?,"'""JavaScript only' patch""",No; we haven't measured 1.5 vs. 6.x. I've used jsperf.com to decide what jQuery solution to use for some particular need in 6.x.,Martin; Yes you are right... that would be a much cleaner solution. So register an '/ajax/call/complete' listener that calls Wicket.DateTime.destroy(). I derived this solution form a private extension of DatePicker (for 1.4.x) that does more things: e.g. collect all all info of all date pickers to be added (in an AJAX request cycle) and issue a single eval to build all of them... which is far more efficient than many evaluations (at least on 1.4.x). So; it was just a matter of adding the additional 'cleaner code' to listener. I will add a new patch with suggested solution. By the way. On the sample projects attached AJAX repainting of the whole table for 6.x takes less than 1 second (steadily; even without the clean up fix) while for 1.5.x it takes t > 7 with t growing with each table navigation. Do you have measured how much faster is AJAX on wicket 6.x than on previous versions (on average)? Cheers. Ernesto,Isn't is better to use a global listener that triggers on '/ajax/call/complete' and checks for existence for the date picker DOM element and if not - removes all JS objects related to it ? Something like https://github.com/apache/wicket/blob/master/wicket-core/src/main/java/org/apache/wicket/ajax/res/js/wicket-ajax-jquery.js#L2495 I find it much simpler.,patch for 6.0.x,quickstart for 1.5.x,quickstart for 6.x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37251,,,,,,,,This issue is already comitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34239,,,,,,,,Fixed in revision 406707.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12357,,,x,x,,,,You are mixing runtimes. You must link _all_ executables with the same run- time library. For release; it's Multithreaded DLL; for debug; it's Debug Multithreaded DLL. Otherwise; bad things will happen when memory allocated from one heap is freed in another. I rebuilt your code with the appropriate setting; and everything worked fine. See the project settings dialog box; C/C++ tab; and the 'Code generation' category.,Created an attachment (id=8494) I have removed some additional headers (extfnapi.h) and other files no longer required.,Created an attachment (id=8425) There is a readme.txt within the file; this does reproduce exactly what I was seeing in my original problem. My previous attachment was a poor attempt at stripping out code to create a repro that would run on most peoples machines. I ripped out the large fails (which I believe where compiler generated to contain the size of the zip file).,You must call XMLPlatformUtils::Initialize() and XalanTransformer::initialize() before you make any calls into the libraries. Take a look at some of the samples; or the Xalan command line executable source code for more information. There is at least one other bug in your code as well: The variable 'result' is a null pointer; but your code tries to copy data to it.,Created an attachment (id=8299) VC6 project plus files (hopefully everything necessary is included),You can attach your zip file by clicking on the Attachments link just below the Keywords link.,I'm going to transfer this bug to Xalan-C for investigation. If it turns out to be a Xerces-C problem; I'll transfer it back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7636,,,x,,,,,As far as I see tthis seems to be fixed in at least Version 2.6.0. Therefore this issue can be closed!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
