id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,
68539,,,,,,,I consider the 'thank you' at the end as part of the signature thus not expressing any feeling,Please be informed that I am no longer accessible through this email address. Pls refrain from sending further messages. I will just personally contact you with my new email address. For any concerns / issues / inputs relating to your transactions with Exist; kindly forward email to hr@exist.com. Thank you HR Dept,It appears the servicemix-eip tests were failing when no additional memory was reserved for the unit tests (currently: -Xmx512m). With Adrian's centralized surefire configuration in place; all these tests now work fine. I have removed the <exclusion/>s from the pom.xml (cfr. http://svn.apache.org/viewvc?view=rev&revision=555652),,,,,,,,,,,,,,,,,,,,,,
74046,x,x,,,,,,Looks good; the other services had the type hinting too; so this was indeed an erroneous situation. Applied & Committed; thanks!,attached a patch for fixing this issue. I do not have a working version of the samplecontainer available; so it would be great if someone could check if it still works with the samplecontainer before commiting.,,,,,,,,,,,,,,,,,,,,,,
49721,,,,,,,,It's actually been in there (in jakarta.apache.org/tapestry/current and in CVS) for a while.,Is this the right place for this request? If not; could someone let me know the proper channel? Thanks... Chris,,,,,,,,,,,,,,,,,,,,,,
16908,x,,,,,,,Thanks. The problem is with deferred node expansion; when this is on the Node appears as null instead of a Text node with an empty String. I'll merge a fix shortly.,,,,,,,,,,,,,,,,,,,,,,,
2987,x,,,,,,,Thanks for the patch,The patch ;),,,,,,,,,,,,,,,,,,,,,,
6272,,,,,,,,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher,,,,,,,,,,,,,,,,,,,,,,,
76425,,,,,,,,This was done long ago and is now in trunk and ready for release,I have merged this work to the trunk. Here's the commit: http://svn.apache.org/viewvc?view=revision&revision=1172075,The patch looks good. Please go ahead and commit.,This patch includes Template Code addition as a result of new design changes.This patch contains both WeblogThemeAssoc and WeblogTemplateCode changes with a test for WeblogTemplateCode.,WeblogThemeAssoc.patch includes new design changes of adding WeblogThemeAssoc class for keeping the association of a weblog and its themes of different types. Please note that this patch is to review the changes and should apply to roller_mobile branch.,This initial patch will enable a user to define a mobile theme and then it will render the set up theme in a mobile device. please create a dummy theme (simply copy paste exisiting one in weblogger-webapp/src/main/wepapp/themes/ and add an entry in theme.xml to say it is a mobile theme. like <type>mobile</mobile>. I have made fauxcoly theme to recognize as a mobile theme. Please note this is a test patch to verify the functionality.,,,,,,,,,,,,,,,,,,
53257,x,,,,,,,Thanks for the patch; Michael. Applied with a few modifications.,Fix for typos attached.,,,,,,,,,,,,,,,,,,,,,,
60912,,,,,,,comment N and N-1 are the same,[branch_4x commit] Mark Robert Miller http://svn.apache.org/viewvc?view=revision&revision=1384969 SOLR-3527: SolrCmdDistributor drops some of the important commit attributes (maxOptimizeSegments; softCommit; expungeDeletes) when sending a commit to replicas.,[branch_4x commit] Mark Robert Miller http://svn.apache.org/viewvc?view=revision&revision=1384969 SOLR-3527: SolrCmdDistributor drops some of the important commit attributes (maxOptimizeSegments; softCommit; expungeDeletes) when sending a commit to replicas.,I was investigating this issue and found that DistribUpdateProcessor distributes the commit commands using the SolrCommandDistributor.distribCommit(...). The method creates Actions to be distributed to other nodes like:  void addCommit(UpdateRequestExt ureq; CommitUpdateCommand cmd) {     if (cmd == null) return;     ureq.setAction(cmd.optimize ? AbstractUpdateRequest.ACTION.OPTIMIZE         : AbstractUpdateRequest.ACTION.COMMIT; false; cmd.waitSearcher);   }  In that method; the action is not considering the 'maxOptimizeSegments' parameter; that's why it's not being distributed to other nodes. However; a bigger problem may be that this method is omitting other parameters too; like 'softCommit' and 'epungeDeletes'; which means that an explicit soft commit issued like:  http://host:port/solr/update?commit=true&softCommit=true  can be distributed as a hard commit to the nodes. I'm not sure about this because I haven't write any test case yet; but it's definitely something to test.,Sounds right Andy - thanks for the report.,One additional data point: the distrib=false does not matter with current behavior. It seems if distrib=false only the local server should be optimized (to the requested value) and if distrib=true (default) all shards in the index should be optimized with N max segments.,,,,,,,,,,,,,,,,,,,
7278,x,,,,,,,Hi George; I just checked in a fix for the empty stack exception. Can you please verify? Thanks.,Hello David; DOMPrint from xml-xerces_20041002043233.tar.gz correctly validates the xml file above. I probably mixed something up. I guess the remaining issue is that this file (from ticket xercesc-1276) should not fail validation against the schema above: <?xml version='1.0'?> <cat> <x:book xmlns:xsi='http://www.w3.org/2001/XMLSchema-instance' xsi:schemaLocation='urn:book sl.xsd' xmlns:x='urn:book' id='bk101'> <x:author>Gambardella; Matthew</x:author> åÊåÊåÊåÊåÊåÊ<x:title>XML Developer's Guide</x:title> åÊåÊåÊåÊåÊåÊ<x:genre>Computer</x:genre> åÊåÊåÊåÊåÊåÊ<x:price>44.95</x:price> åÊåÊåÊåÊåÊåÊ<x:publish_date>2000-10-01</x:publish_date> åÊåÊåÊåÊåÊåÊ<x:description>An in-depth look at creating applications with åÊåÊåÊåÊåÊåÊXML.</x:description> </x:book> </cat>,Hi George; I just tried it out using the latest source and got: Error at file 'd:\bugs\1282.xml'; line 4; column 16 åÊåÊåÊMessage: Unknown element 'x:authors' Error at file 'd:\bugs\1282.xml'; line 11; column 10 åÊåÊåÊMessage: Element 'x:authors' is not valid for content model: '((author;title;genre;price;publish_date);description)' BTW; The empty exception message you get with the file in 1276 (that has cat) is a problem and I am working on fixing that. David,Authors is not in the schema so validation should fail but it doesn't. Here is my command line: domprint -v=always -n -f -s instance.xml,,,,,,,,,,,,,,,,,,,,
57161,,,,,,,,The tests have been added; so closing. Travis; please keep an eye on the results of the tests in our nightly builds and post patches for any build issues. We also need to open a new issue for each test that fails at runtime as a result of thread safety bug(s) in the library; in addition to those for any other failures.,,,,,,,,,,,,,,,,,,,,,,,
26184,,,,,,,,patch applied.,If a directive implementation sees it's parameters are constant; it could evaluate them at initialization time; and substitute a more efficient version for evaluation at runtime.,A simple patch; don't mind applying it; but I'm not sure I understand why this is needed. Can you give a use case when this would be helpful?,,,,,,,,,,,,,,,,,,,,,
37398,,,,,,,,More done: -absolute-ordering faces-config/factory/view-declaration-language-factory faces-config/render-kit/renderer/client-behavior-renderer faces-config/application/partial-traversal,JAR ordering + <name> DONE,,,,,,,,,,,,,,,,,,,,,,
33497,,,,,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,,,,,,,,,,,,,,,,,,,,,,,
60365,,,,,,,,Fix committed as part of SOLR-4134.,Here's a patch (branch_4x) to reproduce the problem. I'm working on the fix.,Creating a CloudSolrServer and setting it this custom LBHttpSolrServer solves the problem: import org.apache.solr.client.solrj.impl.BinaryRequestWriter; import org.apache.solr.client.solrj.impl.HttpSolrServer; import org.apache.solr.client.solrj.impl.LBHttpSolrServer; package com.example.custom.solr; import java.net.MalformedURLException; public class BinaryLBHttpSolrServer extends LBHttpSolrServer { private static final long serialVersionUID = 3905956120804659445L; public BinaryLBHttpSolrServer(String[] endpoints) throws MalformedURLException { super(endpoints); } @Override protected HttpSolrServer makeServer(String server) throws MalformedURLException { HttpSolrServer solrServer = super.makeServer(server); solrServer.setRequestWriter(new BinaryRequestWriter()); return solrServer; } },Iå«ve noticed that the same occurs using HttpSolrServer. However; if you set to HttpSolrServer instance the following Writers it works: HttpSolrServer solrServer = new HttpSolrServer(...); solrServer.setParser(new BinaryResponseParser()); solrServer.setRequestWriter(new BinaryRequestWriter()); Iå«ve tried to find a way to set those Writers via CloudServer or via LBHttpSolrServer but I found nothing.,,,,,,,,,,,,,,,,,,,,
