id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,
8813,,,,,,,,checked in,,,,,,,,,,,,,
44965,,,,,,,,TagSoup 1.2.1 is finally available; so in revision 1160599 I upgraded the dependency and removed the earlier workaround.,I posted again to tagsoup-friends; asking for a release with this fix included. See https://groups.google.com/forum/?pli=1#!topic/tagsoup-friends/Tb7OvGPzKCA,I came up with a fairly simple patch [1] that seems to solve this. I'll see what we can do to push out an official release with this fix. [1] http://github.com/jukka/tagsoup/commit/9cfe7b48745173faafa419f540538a0b6309b699,Here are some related posts to the tagsoup user groups: http://groups.google.com/group/tagsoup-friends/browse_thread/thread/751d271c107a24a9# http://webcache.googleusercontent.com/search?q=cache:M2F_jS2hLVwJ:tech.groups.yahoo.com/group/tagsoup-friends/message/1250+%22Yes;+it+should+be+handled+%28and+returned+as+a+raw+%26;+to+be+escaped%22+on+output+as+%26amp%3B&cd=1&hl=en&ct=clnk&gl=us Evidently the bug occurs when the document contains a sequence of '&' followed by [CR]. When all CRs are transliterated to LFs then TagSoup runs properly. As tagsoup has no official bug tracking or release tracking system there is no way to know when this bug would be fixed. That is why I'm submitting it here as it is causing a bug in apache tika.,,,,,,,,,,
80577,,,,,,,,Test log,,,,,,,,,,,,,
59054,,,,x,,,,The aborted build for hadoop 100 profile seems to be some sort of Jenkins issue.,,,,,,,,,,,,,
45651,,x,,,,,,Integrated in Thrift #533 (See https://builds.apache.org/job/Thrift/533/) Thrift-1701:node.js TBufferedTransport buffer corruption Patch: Marshall Roch fix buffer copy method calls (Revision 1389517) Result = SUCCESS,I think you have a good point and I'm committing it but it unfortunately doesn't fix the TBufferedTransport. e.g. thrift/test/nodejs$ timeout 2 make server & sleep 1; make client only runs one or two tests before stopping/crashing when using TBufferedTransport.,,,,,,,,,,,,
24531,,,,,,,,Changed the site to include the incubator disclaimer and incubator logo.,1) only required on the main page 2) near the beginning; so it is prominent 3) That's the Apache Sponsor; which is usually Incubator. For example: http://incubator.apache.org/npanday/,I have a few questions: 1. Where exactly do you want this disclaimer? Only on the main page; or on every page? 2. Is there some preferred location for disclaimer? 3. The disclaimer test mentions: 'Apache 'Podling-Name' is an effort undergoing incubation at The Apache Software Foundation (ASF); sponsored by the name of sponsor. What should be substituted for sponsor? Basically; the code was donated by Google; does it mean that it makes Google the sponsor?,,,,,,,,,,,
1725,,,,,,,,3.0.0 has been released; closing issues.,,,,,,,,,,,,,
57081,,,,,,,,Closing as fixed.,,,,,,,,,,,,,
34335,,,,,,x,,From today's IRC discussion: will drop out of M1 if not in place by May 8th.,This was something Jeremy was working on. I'm happy to help out but I'm moving it to his bucket since he was doing the work,,,,,,,,,,,,
75082,,,,,,,,I intend to close this issue as fixed in a week's time. Please post your comments if you're able to test by then.,,,,,,,,,,,,,
23248,,,,,,,,Fixed in trunk (r555005).,,,,,,,,,,,,,
37179,,,,,,,,Patch over 1.2.12.3 branch.,Code review comments addressed.,Patch over Trinidad trunk.,,,,,,,,,,,
