id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75638,,,,,,,,Created an attachment (id=13928) Second version New version; major changes: åÊ* easier to use API(see tests for examples); in enveloping signatures no other parameters need to be given. åÊ* verification of enveloped signature. Stills: åÊThe api is still not stable; only verification not creation API. More ways of telling what to verificate and how.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59616,,,,,,,,Closing this since it was committed in 1.4.0. Fixing tests is covered in SQOOP-397.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53882,,x,,,,,,Fixed in both the current trunk and 1.2.x branch; thanks for reporting this: http://svn.apache.org/viewcvs.cgi?rev=383718&view=rev http://svn.apache.org/viewcvs.cgi?rev=383720&view=rev As well as LookupDispatchAction I also modified DispatchAction and ActionDispatcher which could expose the same issue when the NoSuchMethodException is thrown for an invalid method input through a parameter. Closing as FIXED.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19905,,,,,x,,,Bummer! -- The solution too this problem was that my JVM had too little memory (64MB) for allocating all the byte buffers required for writing / reading serialized pages.,I will do some further investigation; not sure if it's a wicket problem or caused by the alternative serialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,x,,,,Bug Flavio more? Seriously; discuss with Flavio and come up with a patch & test that is deterministic. Another option would be to refactor to allow the code in question to be tested as a true unit test; rather than as a system test (we need to work on that in general in ZK). Mockito?,Thanks for taking a look at it Pat. As mentioned in my earlier comments I failed to write a test which passes consistently. Following are the patches already attached. ZOOKEEPER-1137.patch - Patch without testcase - Ready to commit - Verified manually ZOOKEEPER-1137.WithTest.patch - Patch with testcase - Test is failing intermittently Any suggestions?,What's the status on this? I think we should just have one version of the patch - which includes a test of the change. Can you update appropriately? thanks.,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12490410/ZOOKEEPER-1137.patch against trunk revision 1185994. +1 @author. The patch does not contain any @author tags. -1 tests included. The patch doesn't appear to include any new or modified tests. Please justify why no new tests are needed for this patch. Also please list what manual steps were performed to verify this patch. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/632//testReport/ Findbugs warnings: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/632//artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/632//console This message is automatically generated.,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12490410/ZOOKEEPER-1137.patch against trunk revision 1172406. +1 @author. The patch does not contain any @author tags. -1 tests included. The patch doesn't appear to include any new or modified tests. Please justify why no new tests are needed for this patch. Also please list what manual steps were performed to verify this patch. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/576//testReport/ Findbugs warnings: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/576//artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/576//console This message is automatically generated.,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12490410/ZOOKEEPER-1137.patch against trunk revision 1157698. +1 @author. The patch does not contain any @author tags. -1 tests included. The patch doesn't appear to include any new or modified tests. Please justify why no new tests are needed for this patch. Also please list what manual steps were performed to verify this patch. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/458//testReport/ Findbugs warnings: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/458//artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/458//console This message is automatically generated.,uploading patch again to get tested by qa bot.,Flavio; attached the patch including the test for AuthFLE. This test is intermittently failing in my env. Please review and let me know if you have any suggestions. Check if we can proceed with committing the changes without test if we are not able to find out the actual problem. As I already mentioned; patch has been tested manually.,Hi Flavio; quorum always fails to start if we configure different election ports. Also; I already tried to adapt FLE Test to use Auth FLE but its failing randomly [May be due to UDP]. That was the reason for not adding a test. Patch has been verified manually by configuring different ports. Quorum started with no issues after fix. I will upload the patch including test case I've added. Please review and let me know what I'm missing. So that I can correct it.,On a second thought about it; if we get an NPE when using different ports; then perhaps we could adapt the FLE test to use AuthFLE and then be able to reproduce the problem?,The modification is minor; and I'm ok with committing it without a test. Does anyone else have an opinion? I was actually suggesting a general test for AuthFLE. We have no test exercising AuthFLE currently. If you have one; it would be great.,@Flavio : I failed to write a reliably passing test for this as this depends on UDP. Manually verified the patch. This causes no test failures.,Sure; go ahead and upload a patch. Having a test for AuthFLE would also be useful.,Thanks for the info Flavio. I really don't have a specific use case. We found this problem while exploring different features. I've a patch to fix this problem as I mentioned in earlier comments and currently verifying the same. Even if this is going to be deprecated we can't have a NPE. no? Please let me know if I can upload the patch.,Hi Laxman; We haven't been maintaining the AuthFLE implementation; and we have been talking about deprecating it for a long time. Do you have any particular reason why you'd like to fix it; like a use case; or you're simply exploring?,Following piece of code in AuthFLE class looks to be problematic.              for (QuorumServer server : self.getVotingView().values()) {                 InetSocketAddress saddr = new InetSocketAddress(server.addr                         .getAddress(); port);                 addrChallengeMap.put(saddr; new ConcurrentHashMap<Long; Long>());             }  We are populating the addrChallengeMap with same port all the times. Ideally; this should be              for (QuorumServer server : self.getVotingView().values()) {                 addrChallengeMap.put(server.electionAddr; new ConcurrentHashMap<Long; Long>());             }  Any other thoughts?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68136,,,,,,,,Committed to the 3.2 branch via revision 634707 and to the trunk (3.3) via revision 634714.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6555,,,,,,,,Reporter took back the issue.,User retracted claim.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15801,,,,,,x,,Given the dependencies; I don't think this is going to be an option for the cannonical Struts 2 distribution; unless it is reworked to use iBATIS or Cayenne.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46942,,,,,,,,Second shot at this one; in r760739.,$ git ls-files | grep 'gen-' lib/rb/benchmark/gen-rb/BenchmarkService.rb lib/rb/benchmark/gen-rb/Benchmark_constants.rb lib/rb/benchmark/gen-rb/Benchmark_types.rb,Solution committed in r760050.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49893,x,,,,,,,Fixed - thanks!,Created an attachment (id=9706) TapestryLinks.xml.diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
