id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,
11480,,,,,,,,Retest shows Running xalan on lre02 <?xml version='1.0' encoding='UTF-8'?> <out xmlns='www.lotus.com' xmlns:ped='http://tester.com' english='to leave'/> Running XSLTC with Xerces Parser on lre02 <?xml version='1.0' encoding='UTF-8' ?> <out xmlns:ped='http://tester.com' xmlns='www.lotus.com' english='to leave'/>,This was caused by a bug in xpath.cup. Non-prefix elements that were referenced in expressions in the stylesheet were given the stylesheet's default namespace instead of the null namespace.,lre03 is closely related and seems to exhibit the same problem.,,,,,,,,,,,,,,,,
1725,,,,,,,,3.0.0 has been released; closing issues.,Integrated in ZooKeeper-trunk #99 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/99/),+1 and committed,Addressed the changed detailed in this JIRA re the extern constants. I didn't change the jute - don't think this is a good idea; esp as also effects the java. Should be limited exposure since jute naming starts with caps. Also fixed a problem in zkfuse where previous changes to c client code were not reflected there (ie context passed to watcher).,Andrew could you take a look at this one?,,,,,,,,,,,,,,
73133,,,,,,,,resolved.,,,,,,,,,,,,,,,,,,
53882,x,,,,,,,Fixed in both the current trunk and 1.2.x branch; thanks for reporting this: http://svn.apache.org/viewcvs.cgi?rev=383718&view=rev http://svn.apache.org/viewcvs.cgi?rev=383720&view=rev As well as LookupDispatchAction I also modified DispatchAction and ActionDispatcher which could expose the same issue when the NoSuchMethodException is thrown for an invalid method input through a parameter. Closing as FIXED.,I agree we should fix this. We had a similar thing recently and not all servlet containers we're affected - it depended on whether the container filtered the output from the exception: åÊåÊåÊhttp://wiki.apache.org/struts/StrutsXssVulnerability As a workaround in the meantime you have a few options: 1) Configure a Struts exception handler 2) Configure a custom error page for your servlet container 3) Have a custom LookupDispatchAction overriding the getLookupMapName() method: åÊåÊåÊprotected String getLookupMapName(HttpServletRequest request; åÊåÊåÊåÊåÊåÊåÊåÊString keyName; ActionMapping mapping) åÊåÊåÊåÊåÊåÊåÊåÊthrows ServletException { åÊåÊåÊåÊåÊåÊåÊtry { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsuper.getLookupMapName(request; keyName; mapping); åÊåÊåÊåÊåÊåÊåÊ} catch (Exception e) { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊlog.error('LookupDispatchAction error ' + e); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthrow new ServletException('Error in LookupDispatchAction'); åÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊ},(In reply to comment #2) > On second thought; I think we may want to mark this as INVALID depending on your > response. This is not a problem with the classes; but with the lack of > Validation. You should put validation on 'method' parameter - does Struts allow > validation on parameters which are not explicitly defined in forms? Yes (in answer to your first question); the alert box does pop up. Sorry for not saying so implicitly originally. Yes; I could put validation on the form. That's a possibility which hadn't occured to me. It's not going to be trivial to validate the field though; since I'm using LookupDispatchAction; so the legal parameter values are in the application's resource bundle; and the corresponding keys are already in the Map used by the Lookup. So if I do write a simple validator; I'm going to lose the i18n abilities; and if I write a more robust one; then I'm reimplementing what LookupDispatchAction does anyway. And on top of that; it puts another requirement on the user (to explicitly write the validation). Wouldn't it be more robust to just not echo the dodgy value?,On second thought; I think we may want to mark this as INVALID depending on your response. This is not a problem with the classes; but with the lack of Validation. You should put validation on 'method' parameter - does Struts allow validation on parameters which are not explicitly defined in forms?,I'll write up a patch for this ticket over the weekend. Tommy; so did it cause the JavaScript alert box to popup?,,,,,,,,,,,,,,
20237,,,,,,,,See my comment in WICKET-3093.,I am using AjaxFormComponentUpdatingBehavior on autocompletetext field. below is the code snippet. åÊautocomplete.add(new AjaxFormComponentUpdatingBehavior('onchange'){ åÊåÊåÊåÊåÊåÊåÊåÊ private static final long serialVersionUID = 1L; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊprotected void onUpdate(AjaxRequestTarget target) { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊtarget.addComponent(getFormComponent()); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊåÊåÊåÊåÊåÊåÊ}); please try it an the defect is recreatable.,Mark this as duplicate of WICKET-3093.,tried; could not reproduce. closing until quickstart is provided.,wicket-examples (latest 1.4.x) > ajax > autocompleter works without any problems on my IE6 here. Please provide a quickstart that reproduces the problem or give more details about the setup.,,,,,,,,,,,,,,
20729,,,,,x,,,Sorry; I've reread the IOC code; and you're right. This is indeed not an issue. My apologies..,I'm not sure that I understand you. org.apache.wicket.injection.Injector#cache caches all fields per class; not the fields' values. This caching saves some CPU cycles to introspect the class again and again. The field's value comes from the IFieldValueFactory; so it is up to its implementation to lookup it properly. Please re-open if I'm not correct.,,,,,,,,,,,,,,,,,
48885,,,,x,x,,,I'm working with Liferay 5.1.2 / Tapestry 4.0.2 and that patch did not work for me. The IllegalStateException I obtain is thrown by service method of AbstractEngine: Error producing exception report: java.lang.IllegalStateException ERROR [STDERR] Session id : ERROR [STDERR] ERROR [STDERR] java.lang.IllegalStateException ERROR [STDERR] com.liferay.portlet.StateAwareResponseImpl.setRenderParameter(StateAwareResponseImpl.java:154) ... ERROR [[RP]] Servlet.service() for servlet RP threw exception [exec] java.lang.IllegalStateException Code: @InjectObject('service:tapestry.portlet.ActionResponse') public abstract javax.portlet.ActionResponse getActionResponse(); getActionResponse().sendRedirect(Portal-Login-Url); The Exception is thrown; but the redirect still works and every action done before seems to be rolled back (redirect to Portal-Login works; but Portlet-Login not) So i modified the service method of AbstractEngine to catch IllegalStateException: public void service(WebRequest request; WebResponse response) throws IOException { ... catch (PageRedirectException ex) { åÊåÊåÊåÊhandlePageRedirectException(cycle; ex); } catch (RedirectException ex) { åÊåÊåÊåÊhandleRedirectException(cycle; ex); } catch (StaleLinkException ex) { åÊåÊåÊåÊhandleStaleLinkException(cycle; ex); } catch (StaleSessionException ex) { åÊåÊåÊåÊhandleStaleSessionException(cycle; ex); } //New catch(IllegalStateException ex) { åÊåÊåÊåÊåÊhandleIllegalStateException(cycle; ex); } ... I know; thats not the ideal solution; but it works with Liferay.,Thomas; Please find attached a patch for this particular issue. It is a precise patch to allow for easy review. I have patched the Tapestry 4 I am using a bit more than just this. I am interested in your experience with T4 and portlets; in particular with respect to TAPESTRY-2548. Regards; Pieter Schoenmakers,Actually I'm facing the same Problem: trying to redirect to the Loginpage of my Portal; but I get the IllegalStateException. (getActionResponse().sendRedirect(myurl);) Could you please post your solution for me Pieter? Thanks in advance!,I've extended WebResponse to implement sendRedirect for a ServletResponse and ActionResponse; throwing for a RenderResponse. AbstractEngine.handleRedirect is fixed to invoke sendRedirect on the reponse. Works like a charm. Add a comment to this bug if you're interested in a patch.,Interestingly; redirection from within a portlet works (more or less) by doing a getActionResponse().sendRedirect('foo'). Any attempt by Tapestry to set render parameters in order to influence the next service invoked will fail. That includes the exception page triggered by the attempt to set render parameters. The only downside is the amount of litter in the log. The real solution is for AbstractEngine.handleRedirectException to be overridden for the situation in which we're handling an ActionRequest. In that case the sendRedirect of the ActionReponse should be invoked instead of the forward of the WebRequest (which does the wrong thing for absolute URLs anyway). I am becoming disappointed in Tapestry-4 and the way it is maintained. A bug like this should not remain open for 2 years (minus 3 days). I know moaning does not speed up the bug being fixed but at least the moaning may be noticed. I'll probably fix the bug myself anyway. Add a comment to this bug if you're interested in a patch.,I'm sorry; I forgot to say about environment. I've tried run portlet in pluto 1.0.1 and jetspeed-2.1-dev. But result is still the same,,,,,,,,,,,,,
58251,,,,,,,,All third party repos are removed for released artifacts. The only exception is the metaxa engine which will be excluded from the release.,,,,,,,,,,,,,,,,,,
17369,,,,,,,,Marking this issue as resolved. Reasons: - Not reproducible. - No feedback from reporter. - If there was a dependency issue; it has probably been fixed by the change in r773502.,Can you try this again after doing a mvn dependency:purge-local-repository?,,,,,,,,,,,,,,,,,
27962,,,,,,,,Code delivered to SVN.,Various updates to JD/OR/WS to get up-to-date: Employ json for externalized data Service submit should support flag --classpath_order Copyright 2013 JP JMX URL not showing in the DUCC monitor while the JP is in INITIALIZING state Minimize real estate occupied by WS top of page banner WS should capture to its log std out/err from ducc_ling (and not write to /tmp file) WS should tell browser not to cache volatile JSON and other responses CLI+WS+OR+JD Support for arbitrary processes Provide ability to specify on Json Reservation query the desired state type: {all;active;inactive} User control of user filtering (include; include+active...) but under Preferences Performance tab incorrectly displays 00 for Avg/Min columns DUCC submit with monitor results in non-zero RC when job has zero work items to process WS shows RM daemon status as unknown WS using obsolete cookie when it should now user session variable containing userId WS Machines page doesn't count shares in use for services Kill -9 of running service leaves State == Running?? Projected time to finish not shown User Preferences WS Performance tab displays incorrect durations under Total column Fix Datatables warning (table id = 'services-deployments-table'): Requested parameter '11' from the data source for row 0 WS default reservation class Allow specification of WS default reservation submit class name Headings should be fixed on Jobs/Reservations pages Fix potential NPE in WS Consistent ducc: cookie names JPs should not be allocated for Jobs that have no work items to process WS login time should be infinite; until browser process dies,,,,,,,,,,,,,,,,,
