id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1
41962,,,,,,,,I have fixed that issue by checking for a null before the line 95 of HtmlInputTextRenderer: writer.writeAttribute(HTML.VALUE_ATTR; value; JSFAttr.VALUE_ATTR); 'value' is null here when using jetty+JSF-RI.,,,,,
9485,,,,,,,,This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).,,,,,
45877,,,,,,,,Integrated in Thrift #426 (See https://builds.apache.org/job/Thrift/426/) THRIFT-1532/ THRIFT-1475 - fix record generation for erlang (Revision 1303663) Result = SUCCESS molinaro : http://svn.apache.org/viewvc/?view=rev&rev=1303663 Files : /thrift/trunk/compiler/cpp/src/generate/t_erl_generator.cc /thrift/trunk/lib/erl/Makefile.am /thrift/trunk/lib/erl/test/Thrift1475.thrift,,,,,
68305,,,,,,,,Updated the binding components' parent pom.xml http://svn.apache.org/viewvc?view=rev&revision=557983,,,,,
927,,,,,,,,The patch no longer applies. Abmar; can you take a look?,,,,,
76385,,x,,,,,,Cool. Thanks for considering my bug report!,,,,,
80924,,x,,,,,,The changes looks good for me. Reviewed with no commentaries.,,,,,
7665,x,x,,,,,,Verified; thanks.,,,,,
46878,,,,,,,,Bryan; I agree on the folder structure change. This surely will break existing code. For your other point; it isn't really necessary that's right but in my opinion it fits much better in the Rails 'convention over configuration' principle. FYI; we are using those changes successfully in all our thrift sub-projects (we are having 5 of them).,,,,,
8098,,,,,,,,*** Bug 9236 has been marked as a duplicate of this bug. ***,,,,,
5711,,,,,,,,Venu committed your patch. It's in Xerces 2.6.0. Please verify.,,,,,
29492,,,x,,,,,I think this should be fixed/changed for uima-base too. Is there a reason it wasn't?,,,,,
27430,,,,,,,,Looks solid. I'm okay with resolving this one.,,,,,
78211,,,,,,,,Also fixed in main 0.9.7 branch,,,,,
