id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15893,,,,,,,,You are only flushing the writer; donå«t you need to close it too? writer.flush(); writer.close();,Is there a reason the writer.flush() is not called if a JSPfactory is not used? You should always flush() and close() your streams and writers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79309,,,,,,,,Closing old resolved issues,This task is going to take several hours (at least) to complete; especially as lots of new dependencies have been added to rave recently. Furthermore; the shindig dependencies turned up to not having their own appropriate license and notice files in place; which thus needs to be checked out first (by ourselves) too. For the next release (0.8-incubating) all this needs to be sorted out; before we can start creating a new release candidate... And therefore I'm upgrading this issue status to BLOCKER!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29492,,,,,,,,I think this should be fixed/changed for uima-base too. Is there a reason it wasn't?,There are different scripts between core framework and UIMA-AS. Will fix the UIMA-AS scripts with this issue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22766,x,x,,,,,,Fixed and I've tested it.,Everything works great now. Thanks.,Can you plese give it a try now? Hopefully the second attempt will work :),Sorry; overlooked that. Will commit it soon.,In the removePage() method you removed the indicesList.toArray() so I now get a ConcurrentModificationException because the code tries to iterate through a list at the same time it's removing items. You could use something like this public void removePage(int pageId) { if (idToWindowIndices == null) { rebuildIndices(); } List indices = (List)idToWindowIndices.get(pageId); if (indices != null) { Object[] indicesArray = indices.toArray(); // Make a copy of the list so we don't get a ConcurrentModificationException for (int i=0; i < indicesArray.length; i++) { int index = ((Integer)indicesArray[i]).intValue(); PageWindowInternal window = (PageWindowInternal)windows.get(index); if (window.pageId == pageId) { removePage(window.pageId; window.versionNumber; window.ajaxVersionNumber); } } } } The other alternative would be to pass the iterator through to the removePage() method so it can call Iterator.remove() but this seems a lot more complicated. Also the list should never really be that big so copying it to an array shouldn't impact performance.,Hi; thanks for the bug report. I wish we had more reports like this. I've attempted to fix the issue; can you plese test if the current trunk works for you?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63758,x,,,,,,,Committed revision 682671. Added an excludes for **/target/ to the patch to make sure the DataImportHandler binaries do not get packaged. Thanks Jeremy!,Quick patch to add contrib/** to the package task. This may be all that is required; but I'm not for sure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33984,,,,,,,,reattaching with grant of license,reattaching with grant of license,samples included in build,I have raised tuscany 628 to cover the exceptions being raised by the execution of the samples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14571,,x,,,,,,yay! it should be really really easy (not including the test; I think it's just deleting 6 characters),If time permits; I'm planning to do a backport of some issues for a Struts 2.0 maintainance release. This one would definitely make it into the port.,I agree! Please backport to a 2.0.x release!,Is there any chance this fix could be backported to a 2.0.x release?,Well; in the current code; your change has been made (by me it seems); so how warnings will be printed; but the property setting will continue. I still think this should be handled better; but it should be fine for now since it works the way we want but will just print out warnings in the semi-rare case the result uses the parameters for something they weren't intended for; which at this point; it seems only to be the ServletActionRedirectResult.,The reason exceptions are ignored is result parameters are not always meant to be applied as setters. For example; the redirect results programatically access the parameters and interpret them as parameters to set on the redirect request. Therefore; there is no corresponding setter and OGNL will throw an exception. Certainly; the current implementation is ideal; but just having exceptions thrown is not the solution. Perhaps we let results declare themselves as supporting 'strict' parameter assignments?,I'm habitual...here is the patch with the Struts 2 code formatting rather than my company's formatting. Sorry for the confusion! thanks; aaron,Don't use this one...non standard code formatting.,Patch for project created from project root; includes proposed fix and test case. Proposed fix is simply to call to a more restrictive setProperties() on the OgnlUtils class which prevents exceptions from being thrown during binding. Don't use this one...non standard code formatting. See newest attachment.,If you come up with a proposed fix; please post the patch to this ticket.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34194,x,,,,,,,Patch applied. Thanks!,Patch is provided. A celtix configuration file called server.xml is added.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56246,x,,,,,,,Fixed in nightly build 20010612. Will be fixed in Struts 1.0 final.,Created an attachment (id=207) Patch for LinkTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58715,,,,,,,,Fixed in revision 1073288,Changing the goal to 'single' works the same and it is a better solution; since 'attached' goal is deprecated. Committed this change in revision 1073288.,This error disapperar if we change the goal of the maven-artifact-plugin to 'attached' instead of 'assembly'. This goal should behave the same but do not affect the kres build process.,Can reproduce the error with the attached mvn-minimal-configuration-pom.xml; which includes only the following modules; omitting all modules except: * enhancer/SemiAutomaticContentEnhancer * kres/eu.iksproject.kres.shared/dependency/owlapi3 * kres/eu.iksproject.kres.ontologies,I attach the output of the last try (enhancer-16),Kres build process fails when executing fro the root of Stanbol with the above output: [INFO] ------------------------------------------------------------------------ [ERROR] BUILD ERROR [INFO] ------------------------------------------------------------------------ [INFO] Failed to resolve artifact. Missing: ---------- 1) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 åÊåÊTry downloading the file manually from the project website. åÊåÊThen; install it using the command: åÊåÊåÊåÊåÊåÊmvn install:install-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file åÊåÊAlternatively; if you host your own repository you can deploy the file there: åÊåÊåÊåÊåÊåÊmvn deploy:deploy-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id] åÊåÊPath to dependency: åÊåÊ 1) eu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 åÊåÊ 2) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 ---------- 1 required artifact is missing. for artifact: åÊåÊeu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 from the specified remote repositories: åÊåÊcom.springsource.repository.bundles.external (http://repository.springsource.com/maven/bundles/external); åÊåÊcentral (http://repo1.maven.org/maven2); åÊåÊjava.net (http://download.java.net/maven/2); åÊåÊapache (http://repository.apache.org/content/groups/snapshots-group) [INFO] ------------------------------------------------------------------------ [DEBUG] Trace org.apache.maven.lifecycle.LifecycleExecutionException: Missing: ---------- 1) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 åÊåÊTry downloading the file manually from the project website. åÊåÊThen; install it using the command: åÊåÊåÊåÊåÊåÊmvn install:install-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file åÊåÊAlternatively; if you host your own repository you can deploy the file there: åÊåÊåÊåÊåÊåÊmvn deploy:deploy-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id] åÊåÊPath to dependency: åÊåÊ 1) eu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 åÊåÊ 2) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 ---------- 1 required artifact is missing. for artifact: åÊåÊeu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 from the specified remote repositories: åÊåÊcom.springsource.repository.bundles.external (http://repository.springsource.com/maven/bundles/external); åÊåÊcentral (http://repo1.maven.org/maven2); åÊåÊjava.net (http://download.java.net/maven/2); åÊåÊapache (http://repository.apache.org/content/groups/snapshots-group) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoals(DefaultLifecycleExecutor.java:711) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalWithLifecycle(DefaultLifecycleExecutor.java:556) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.forkProjectLifecycle(DefaultLifecycleExecutor.java:1205) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.forkLifecycle(DefaultLifecycleExecutor.java:1033) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoals(DefaultLifecycleExecutor.java:643) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalWithLifecycle(DefaultLifecycleExecutor.java:556) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoal(DefaultLifecycleExecutor.java:535) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalAndHandleFailures(DefaultLifecycleExecutor.java:387) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeTaskSegments(DefaultLifecycleExecutor.java:348) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.execute(DefaultLifecycleExecutor.java:180) at org.apache.maven.DefaultMaven.doExecute(DefaultMaven.java:328) at org.apache.maven.DefaultMaven.execute(DefaultMaven.java:138) at org.apache.maven.cli.MavenCli.main(MavenCli.java:362) at org.apache.maven.cli.compat.CompatibleMain.main(CompatibleMain.java:60) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) at java.lang.reflect.Method.invoke(Method.java:597) at org.codehaus.classworlds.Launcher.launchEnhanced(Launcher.java:315) at org.codehaus.classworlds.Launcher.launch(Launcher.java:255) at org.codehaus.classworlds.Launcher.mainWithExitCode(Launcher.java:430) at org.codehaus.classworlds.Launcher.main(Launcher.java:375) Caused by: org.apache.maven.artifact.resolver.MultipleArtifactsNotFoundException: Missing: ---------- 1) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 åÊåÊTry downloading the file manually from the project website. åÊåÊThen; install it using the command: åÊåÊåÊåÊåÊåÊmvn install:install-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file åÊåÊAlternatively; if you host your own repository you can deploy the file there: åÊåÊåÊåÊåÊåÊmvn deploy:deploy-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id] åÊåÊPath to dependency: åÊåÊ 1) eu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 åÊåÊ 2) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 ---------- 1 required artifact is missing. for artifact: åÊåÊeu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 from the specified remote repositories: åÊåÊcom.springsource.repository.bundles.external (http://repository.springsource.com/maven/bundles/external); åÊåÊcentral (http://repo1.maven.org/maven2); åÊåÊjava.net (http://download.java.net/maven/2); åÊåÊapache (http://repository.apache.org/content/groups/snapshots-group) at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTransitively(DefaultArtifactResolver.java:360) at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTransitively(DefaultArtifactResolver.java:304) at org.apache.maven.plugin.DefaultPluginManager.resolveTransitiveDependencies(DefaultPluginManager.java:1499) at org.apache.maven.plugin.DefaultPluginManager.executeMojo(DefaultPluginManager.java:442) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoals(DefaultLifecycleExecutor.java:694) ... 21 more [INFO] ------------------------------------------------------------------------ [INFO] Total time: 2 minutes 48 seconds [INFO] Finished at: Fri Feb 11 17:26:58 CET 2011 [INFO] Final Memory: 118M/282M [INFO] ------------------------------------------------------------------------ I started to investigate this; that does not happen when compiling in the /kres folder I before launched the command (evry time): $ cd $M2_HOME/repository $ rm -rf hermit/ && rm -rf owl* && rm -rf eu Then from the the root of Stanbol $ mvn clean install -X -DskipTests I did this with different configurations: * All non-kres moduls commented >> success * All but the parent module >> failure * All but the parent;entityhub modules >> failure * All but the parent;entityhub;enhancers modules >> success So I started investigating the enhancer module; and commented all but that: * enhancer-1 >> failure (all modules) * enhancer-2 >> success (only the parent module) * enhancer-3 >> success (parent module + base enhancer modules) * enhancer-4 >> success (parent module + base enhancer modules + autotag;opennlp;lang-id) * enhancer-5 >> success (parent module + base enhancer modules + autotag;opennlp;lang-id;metaxa) * enhancer-6 >> success (parent module + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging) from this point on I have activated also 'parent' and 'entityhub' in the root pom: * enhancer-7 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais) * enhancer-8 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta) * enhancer-9 >> seccess (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey) * enhancer-10 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer) * enhancer-11 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql) * enhancer-12 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql + launcher/full) * enhancer-13 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql + launcher/full;launcher/lite) * enhancer-14 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql + launcher/full;launcher/lites + integration-tests) * enhancer-15 >> failure (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql + launcher/full;launcher/lites + integration-tests + SemiAutomaticContentEnhancer) --> same as enhancer-1 I tries also the following: Activating 'enhancer' only in the parent pom (and kres; of course) * enhancer-16 >> failure (parent module + base enhancer modules (generic) + SemiAutomaticContentEnhancer) So the problem is related to some configuration incompatibility between enhancer/SemiAutoamticContentEnhancer and kres/eu.iksproject:eu.iksproject.kres.ontologies I will investigate more on that.,This problem is again on after moving the kres module compilation at the end of the process in the main stanbol pom.xml,Fixed in 1060423.,I encounter the problem again even after following the instructions in the readme. [INFO] Unable to find resource 'eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7' in repository central (http://repo1.maven.org/maven2) [INFO] ------------------------------------------------------------------------ [ERROR] BUILD ERROR [INFO] ------------------------------------------------------------------------ [INFO] Failed to resolve artifact. Missing: ---------- 1) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 åÊåÊTry downloading the file manually from the project website. åÊåÊThen; install it using the command: åÊåÊåÊåÊåÊåÊmvn install:install-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file åÊåÊAlternatively; if you host your own repository you can deploy the file there: åÊåÊåÊåÊåÊåÊmvn deploy:deploy-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id] åÊåÊPath to dependency: åÊåÊ 1) eu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 åÊåÊ 2) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 ---------- 1 required artifact is missing. for artifact: åÊåÊeu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 from the specified remote repositories: åÊåÊcom.springsource.repository.bundles.external (http://repository.springsource.com/maven/bundles/external); åÊåÊcentral (http://repo1.maven.org/maven2); åÊåÊjava.net (http://download.java.net/maven/2); åÊåÊapache (http://repository.apache.org/content/groups/snapshots-group),Fixed in #1049533.,The problem is reproducible when deleting the eu/iksproject tree from the local Maven repo $ rm -rf ~/.m2/repository/eu/iksproject/ and then start a Maven build using the top level Stanbol POM. This problem is not fixed by adding the missing JARs as mentioned by Enrico. As Andreas noted there is somehow a difference between calling Maven build in the kres directory or using the top level POM.,The problem stated in this issue disappeared after a $ mvn dependency:resolve,I manually installed the jars according to the README but that did not resolve this problem. Interestingly there is a dfference between executing mvn install in the stanbol directory and the kres subdirectory. I did not see this error when executing the command in the kres directory. I got the error mentioned in STANBOL-10 then.,The KReS module relies on three external dependencies that are not available in the maven repository. As described in the main stanbol README (http://svn.apache.org/repos/asf/incubator/stanbol/trunk/README.txt) you should import those irbraries manually before compile KReS. From the KReS folder do the following: $ mvn install:install-file -Dfile=kres/lib/owlapi-3.0.0.jar \ åÊåÊåÊåÊåÊåÊåÊ-DgroupId=owlapi -DartifactId=owlapi -Dversion=3.0.0 -Dpackaging=jar $ mvn install:install-file -Dfile=kres/lib/HermiT.jar \ åÊåÊåÊåÊåÊåÊåÊ-DgroupId=hermit -DartifactId=hermit -Dversion=1.2.4 -Dpackaging=jar $ mvn install:install-file -Dfile=kres/lib/owl-link-1.0.2.jar \ åÊåÊåÊåÊåÊåÊåÊ-DgroupId=owl-link -DartifactId=owl-link -Dversion=1.0.2 -Dpackaging=jar Note that; as for issue STANBOL-10; tests for the rule module actually breaks; so you should compile it with the -DskipTests flag.,,,,,,,,,,,,,,,,,,,,,,,,
