id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,
73819,,x,,,,,joy and satisfaction,looks good. Thanks!,The attached patch resolves the issue for me. Please take a look.,,,,,,,,,,,,,,
77849,,,,,,,satisfaction emotion,Confirmed with Dave that this can be closed.,,,,,,,,,,,,,,,
5134,,,,,,,gratitude emotion,Ludger; thanks for the patch. I've just committed it. See SVN rev 1103164. Thiwanka; thanks for your help in investigating this issue.,,,,,,,,,,,,,,,
58767,,,,,x,,little concern,Unfortunately no: - looking at ServerSession.userAuth where it sets the state to Running: åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊbuffer = createBuffer(SshConstants.Message.SSH_MSG_USERAUTH_SUCCESS; 0); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊwritePacket(buffer); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsetState(State.Running); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthis.authed = true; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthis.username = username; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊunscheduleAuthTimer(); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊscheduleIdleTimer(); the event is triggered before this.username is updated so the observer doesn't have access to that value. If the set is moved to later than I can eliminate two hacks (I suspect this.username should be updated far earlier when userauth_request arrives; but that would be a change in getUsername's semantics); however ... - as I mentioned above; instead of overloading ServerSession I should be defining my own service type and adding that; I've created SSHD-211 and attached a patch to illustrate the basic idea,Andrew; do you think the above commit is sufficient for your needs ?,URL: http://svn.apache.org/viewvc?rev=1434652&view=rev,This should solve my immediate problem (once the git repos are settled I will apply and test). However; looking at my code (which is now kind of working!) and SSHD-205 I suspect there's a better more invasive solution. Since my service is custom; instead of overloading ServerSession and looking for events; I should be registering my own service with SshServer. To sketch the idea out: - add an SshService factory to SshServer that maps a service name onto a service. The table would include ssh-userauth (rfc4252); and ssh-connection (rfc4254); and my custom service - separate ssh-userauth and ssh-connection from ServerSession so that they are are standalone services; and the latter just worries about the transport (rfc4253) - when the transport receives SSH_MSG_SERVICE_REQUEST; it could then instantiate the requested service and pass non-transport requests along to it - ssh-userauth; once authentication has finished; would also instantiate the requested service (passing it the authenticated user credentials) and update ServerSession My custom service would then see the following events from ServerSession / ssh-userauth - authenticated / requested when instantiated (or perhaps a separate explicit message) - a separate closed message when ServerSession sees the connection dropped et.al. Once the git repo is up; I might just play with the idea. It is very invasive.,The SSHD repository is in maintenance mode; so I can't commit what I've done now; but I've added a Session#getState() method and a SessionListener#sessionChanged() method so that you will be able to register a listener and be informed of session state changes. In your case; you'll have to check the sessionChange call with a Running state and the sessionClosed call.,,,,,,,,,,,
74448,,,,,,,concern,Closing this one since it doesn't fit in with the current caja integration anymore.,Marking unassigned to indicate that nobody is actively working on this issue. Anyone interested in helping the project should should consider working on this issue.,To add a little more detail; I believe Casie is saying that the gadgets.* <--> Caja bindings are not yet implemented; while the opensocial.* <--> Caja bindings are implemented.,The issue isn't as simple as just requiring the caja library right now. Work needs to be done to 'allow' the gadgets api calls in caja. I can work on this soon as it will require some integration with the opensocial caja modifications. (Although; some one can feel free to add a patch if you know what to do!),Anything we can do to minimize the work needed by a developer to support Caja is a very good thing. Furthermore as Caja improves; we'll be able to Cajole more and more gadgets without developer modifications. If that Gadget can become Cajoled without the author having to work on it; that would be great. What concerns me is that many of the Caja failures are likely to be at run time instead of compile time. So should a gadget author have the ability to ask for their gadget not to be Cajoled incase they know it doesn't work? If don't give that option; we may need to monitor Caja runtime failures and fall back to the iFrame for certain gadgets.,This isn't the case. Passing &caja=1 will cajole the gadget. opensocial-samplecontainer does some black magic to make it appear to work and do the right thing; but what it's really doing is not how it should work in prod. The remaining outstanding issue with cajoling right now is that passing &caja=1 does the cajoling process; but it does not pull in the necessary javascript libraries. To do that we must either make caja a core js library or force a <Require feature='caja'>. The latter is easier; but I'm not sure it's the way that we ultimately want things to work. For testing purposes you can manually add <Require feature='caja'/> to the gadget and modify the iframe url to add &caja=1. I'll modify the title of this to better address the core of the problem.,,,,,,,,,,
62753,,,,,,,gratitude,Thank you!,committed r892775,,,,,,,,,,,,,,
3399,,,,,,,satisfaction,Changed MULTI_TEXTVALUE_SEPARATOR into a property configurable by injection of constant named xwork.validatorfileparser.multi_textvalue_separator. This makes it possible to have empty String as 'separator' if it apllies to your particular platform; without breaking the backward compatibility and changing default behaviour.,,,,,,,,,,,,,,,
5711,,,,,,,"neutral, does not specify explicitly any emotion",Venu committed your patch. It's in Xerces 2.6.0. Please verify.,Created an attachment (id=9177) Test program to show the problem of acceptNode getting called twice,Created an attachment (id=9176) Patch for bug which causes acceptNode to call twice when filter is set to LSParser,,,,,,,,,,,,,
34779,,,,,,,satisfaction,fix works~,Commit ddce361ffa08306423f200eba9c03b3a171d8679 in branch refs/heads/master from Daniel Gruno [ https://git-wip-us.apache.org/repos/asf?p=trafficserver.git;h=ddce361 ] TS-1858: Fix redefinition of timersub on OmniOS with the ESI plugin.,,,,,,,,,,,,,,
58537,,,,,x,,some gratitude but mostly neutral,Looks like STANBOL-258 describes the same Issue.,With the current full launcher in r1143385 the problem is still there on my Ubuntu Linux system when running integration tests or the full launcher; respectively. åÊjava.lang.NoClassDefFoundError: javax/xml/parsers/ParserConfigurationException,Thanks Rupert; this looks like it indeed. However; since Fabian is the one experiencing this; I would suggest he tries replacing the version number on the reengineer/xerces POM; and commit the change it this solves the problem. wdyt?,In my opinion deleting the local cache can not have any influence in runtime dependencies because the Apache Sling module adds all required dependencies to the launcher jar. Therefore my assumption is that any error related to bundles present/missing in the local cache can only appear at build time and not at runtime. Here is my interpretation of the Log provided by Fabian: Based on this line: 19.05.2011 19:54:17.555 *ERROR* [FelixStartLevel] org.apache.stanbol.enhancer.jersey [org.apache.stanbol.enhancer.jersey.cache.CachingDereferencerEngine] The activate method has thrown an exception (java.lang.NoSuchMethodError: org.apache.xerces.util.XMLChar.trim(Ljava/lang/String;)Ljava/lang/String;) java.lang.NoSuchMethodError: org.apache.xerces.util.XMLChar.trim(Ljava/lang/String;)Ljava/lang/String; I found out that the ext.com.hp.hpl.jena module of Clerezza export 'org.apache.xerces.util' and internally uses xercesImpl version '2.9.1'. The org.apache.stanbol.reengineer.xerces exports 'org.apache.xerces.*' and internally uses 'xercesImpl' version '2.7.1'. This might be the cause for this problem. Further digging into the differences between xercesImpl '2.7.1' and '2.9.1' also showed that the version '2.9.1' depends on two additional bundles åÊåÊxml-apis/xml-apis/1.3.04 åÊåÊxml-resolver/xml-resolver/1.2 and that the 'xml-apis' bundle exports the the 'org.xml.sax' package. Therefore the export of version '2.7.1' of the org.apache.stanbol.reengineer.xerces might also be the reason for the ClassNotFoundExceptions related to org/xml/sax/SAXException. Based on that I assume that updating the version of 'xercesImpl' in the 'org.apache.stanbol.reengineer.xerces' bundle should solve the problem for now. åÊ,Odd. I did the same; though my approach was more radical (rm -rf ~/.m2/repository) Anyway it's most likely about the dependency on Xerces. I am seeing if we can remove the reengineer/xerces bundle at all; so it might solve your problem.,I just checked on a second machine and did: rm -rf ~/.m2/repository/org/apache/stanbol mvn clean mvn clean -P kres mvn install -P kres Then started Stanbol with launchers/kres. The problem remains the same as described in this issue.,Worksforme; they're all active...,I'm trying that now from a completely clean local repo; but it isn't compiling right now as the maven central repo is timing out with me. I'll let you know when it wakes up.,Did you clean your whole local Maven repository? In my case; I had a completely empty repository and only compiled Stanbol with KReS. Perhaps this is a bug that does not occur if there are certain dependencies already in the Maven repository.,Checked again with r1125010 and had the same problem. The full launcher works fine. Attached the error.log file showing the bug. Seams to be a problem with missing runtime dependencies java.lang.NoClassDefFoundError: åÊorg/xml/sax/SAXException java.lang.NoClassDefFoundError: Could not initialize class com.hp.h pl.jena.datatypes.xsd.XSDDatatype,I don't have this. I have cleaned the local maven repository and recompiled to be sure. Then run 'mvn clean install -P kres' as usual. At http://localhost:8080/system/console/components the components you mention are all in active state. Can someone else try?,,,,,
