id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,
59616,,x,,,,,,Closing this since it was committed in 1.4.0. Fixing tests is covered in SQOOP-397.,,,,,,,,,,,,,,,,,,,,,
3908,,,x,,,,,I fixed this in the ActionTag a while ago...,,,,,,,,,,,,,,,,,,,,,
50483,,x,,,,,,Integrated in tapestry-trunk-freestyle #511 (See [https://builds.apache.org/job/tapestry-trunk-freestyle/511/]) åÊåÊåÊåÊTAP5-1628 minor rewording (javadoc only) bobharner : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1167084 Files : * /tapestry/tapestry5/trunk/tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractField.java * /tapestry/tapestry5/trunk/tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Submit.java,Okay; changed to: If true; then the field will render out with a disabled attribute (to turn off client-side behavior). When the form is submitted; the bound value is evaluated again and; if true; the field's value is ignored (not even validated) and the component's events are not fired.,Yep; sounds good! Thanks! Though I prefer the term similar to 're-evaluated' over 'checked' so you know the whole expression is; err; evaluated (!); and it's not just some cached value being checked. But anything is better nothing; so; um; cheers!,Okay; I get it. How about the following: åÊåÊåÊåÊåÊIf true; then the field will render out with a disabled attribute åÊåÊåÊåÊåÊ(to turn off client-side behavior). When the form is submitted åÊåÊåÊåÊåÊthe bound value is checked again and; if true; the field's åÊåÊåÊåÊåÊvalue is ignored (not even validated) and the component's åÊåÊåÊåÊåÊevents are not fired.,Um; I mean; '...for does this not effectively...',It is less to do with the @Persist annotation and more to do with not knowing the disabled parameter is used / re-evaluated during the server-side form submit event. Once the <input> element has rendered; it is not obvious the disabled parameter will ever be used / re-evaluated again; for I would expect it's sole purpose is to only render the HTML 'disabled' attribute. I guess I should (have) really ask(ed) why the disabled parameter is evaluated again on form submission; for this not effectively prevent you from re-enabling the component (via javascript) on the web page?,Integrated in tapestry-trunk-freestyle #506 (See [https://builds.apache.org/job/tapestry-trunk-freestyle/506/]) åÊåÊåÊåÊFixed TAP5-1628 (Have Submit documentation explicitly state when the disabled attribute is evaluated); javadoc changes only. bobharner : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1165938 Files : * /tapestry/tapestry5/trunk/tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractField.java * /tapestry/tapestry5/trunk/tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Submit.java,Fixed in rev 1165938; although with different text: åÊåÊåÊåÊåÊIf true; then the field will render out with a disabled attribute åÊåÊåÊåÊåÊ(to turn off client-side behavior). When the form is submitted; disabled åÊåÊåÊåÊåÊfields' values are ignored (not even validated); and the component's åÊåÊåÊåÊåÊevents; if any; are not fired. But I'm not sure a better description of the disabled parameter helps people know when to apply the @Persist annotation.,,,,,,,,,,,,,,
13658,,,,,,,,> Would it have an impact to remove this 'name' attribute from the generated 'form' tag ? YES! If you need XHTML strict compliance; just drop a new copy of form-common.ftl into template/simple; you can easily take out the section that generates the name=... It would probably cause us major problems; but you might be able to code around it for a single app. You can reopen as a feature request; but I think it is sufficient that you can change the templates yourself.,,,,,,,,,,,,,,,,,,,,,
58727,,,,,,,,Example RequestDocumentor output for the StatelessEngineTest,,,,,,,,,,,,,,,,,,,,,
18707,,,x,,,,,Ah; I can close it myself...,For the sake of completeness: I have also posted a stackoverflow question about this: http://stackoverflow.com/a/13088148/1006823 In the answer I have outlined how I finally solved the problem. I just had to extract the actual page mounting out of my WebApplication class; which seemed like a drawback first; but actually I am pretty happy that the mount stuff is separate now :) That said; feel free to close this ticket if you do not think the framework should support this. At anyone needing this; have a look at the link above - actually it is pretty simple once you know it :),I see no way to generate urls without the information from the request and application (servlet context).,I'm not sure how this is possible in Wicket 1.3/1.4. The ServletContext is needed and the filter path where WicketFilter listens to be able to calculate the relative urls. If you need full url (like http://host/...) then you can use a helper class that uses bi directional map (String -> Class<Page>). In Wicket code you just need to do somthing like: void Helper.mount(webApp) { åÊåÊfor (entry : map) { åÊåÊåÊåÊwebApp.mountPage(entry.key; entry.value) åÊåÊ} } In your non-Wicket code: åÊåÊprefix + map.getKey(pageClass) where prefix is the part that Wicket needs usually to calculate the urls: http://host/contextPath/filterPath.,,,,,,,,,,,,,,,,,,
44952,,x,,,,,,As suggested above; I moved the detector classes from o.a.t.detect to o.a.t.parser subpackages in revision 1159985. That should complete the last remaining open issue with this feature; so resolving as fixed.,I think we are pretty much done with this issue already. Before closing this; I'd like to move the new classes from within o.a.t.detect to appropriate o.a.t.parser subpackages in tika-parsers. That way the detection logic is closer to the related parser classes and we don't have to worry about split-package warnings from OSGi.,In revision 1042497 I added an auto-loading mechanism for detectors so that tools like the Tika facade or the AutoDetectParser class can automatically pick up all detector implementations in the current classpath. This way also the container-aware detectors can be used with minimal changes to client code. To prevent excessive performance overhead; both the Zip and POIFS detectors will first check for the relevant magic byte header and will only do the more expensive format check if the byte header matches and if the given stream is a TikaInputStream instance. In revision 1042498 I added a new --detect option to the CLI for easier testing of the auto-detect functionality. Also; since the container-aware detectors are now automatically loaded and used; there's no longer any need for the explicit --container-aware-detector option and I've turned it into a no-op.,I refactored the code a bit in revision 1042476 to make it easier to compose with other kinds of detectors. Most notably I removed the ContainerDetector interface and made the POIFSContainerDetector and ZipContainerDetector classes directly implement the Detector interface.,I've added some Detector documentation in r985242; please everyone dive in with bits I have missed!,I committed my patch in revision 982175. > memory and processing impact of opening the container I think this acceptable as the extra cost is only associated with specific media types; and we can use the open container feature you added to TikaInputStream to allow later parsing stages to avoid duplicating these costs. Also; since this functionality is now only triggered when the detector is passed a TikaInputStream; a performance-conscious user can easily prevent the extra processing. We might also want to add some extra flag for this if needed. > detectors run in the right order This was a part of my thinking behind the proposed getSupportedTypes() method. With that we could choose to only run these kinds of more complex detectors when simpler detectors have first identified the basic container format.,BTW; the current new Detector implementations are a bit troublesome as they break the contract that the detect() method must not close() the given stream and should use mark() and reset() where necessary to avoid changing the state of the stream. The rationale behind this contract is that you should be able to call parse() on the same stream instance after detecting its type. The attached patch fixes this issue by using the TikaInputStream.getFile() method to access the underlying file (when available or spooled) when detecting these kinds of complex container formats. If the given stream is not a TikaInputStream; then just the generic application/zip or application/x-tika-msoffice type is returned.,Using the container aware detector will give a more accurate answer generally; but at the cost of more memory use; and longer processing time. (Oh; and plus the need for various parser dependencies) There was some reluctance on-list about making this the default; due to the memory and processing impact of opening the container; which we'll need to take notice of. There's also the issue of making sure the detectors run in the right order; which may matter for some but not for others. Alas I don't have a good answer for the way to handle all these different needs...,It's a bit more work; yes. What I'm trying to achieve here is for someone who just uses 'new Tika().detect(...)' to be able to benefit from these extra detectors when they're available in the classpath.,Ah; sorry Nick - I hadn't looked into code yet. I thought; that we stuck in container if it matches to some signature.,Alex - have a look at the code; I think it already does what you're asking of it For OLE2; when we detect the ole2 signature; we load the file into POIFS. We then ask the detector what it is based on this For Zip; we look at each entry in the zip file in turn. If it's one we recognise the name of; and that tells us all we need; we return. Otherwise; we open up that entry; and grab the mime type from that; and return.,Jukka - that might end up being more work though? Also; short of refactoring the current mime types to split out all the different bits; I'm not sure we will have that many new detectors ever?,It's better to have some flag; that will say 'Stop; if this rule matched'; because applying of all rules; could lead to weak performance It's better to have something like; for example for zips rule for jar: zip-type == X1 rule for odf: zip-type == X2 ..... zip-type will calculated once on first invocation; and then re-used. And all rules (for jar; odf; etc.) have no flag 'Stop here'; while there will rule for ordinary zip's; that will have this flag; and we'll stop after checking of all subtypes. The same is could be implemented for OLE2 and other container formats; like OGG; etc.,Hmm; I guess you're right; perhaps we won't need such multi-level detector functionality. The alternative is to simply load all available Detectors; run them on the input document and finally select the most specific of the returned media types.,2Nick: does this will allow to implement support for self-extracted archives? Because; if we'll implement this as separate checker; then we'll need to implement archive extraction/detection inside this checker - this could lead to code duplication.,At the moment; the ContainerAwareDetector checks the first 8 bytes of the file. If they match the OLE2 header signature; it hands it off to POIFS. If the first 4 bytes match the zip header signature; it does zip checking. If neither of them match; it falls back to the default detector To me; this seems simpler!,It would be great if the AutoDetectParser could automatically leverage such detectors that use external parser libraries. The AutoDetectParser can't directly link to such parsers due to dependency issues; but we could use the service provider mechanism just like we do with Parser classes to automatically load all the Detectors available in the classpath. To do this effectively; I'd also add a Detector.getSupportedTypes() method like below so that more complex and potentially more expensive (need to read the entire document) detectors like POIFSContainerDetector could only be called if a more generic detector first determines that the input document matches the supported base type. /** Returns the set of base media types supported by this detector when used with the given parse context. The base media type can be <code>application/octet-stream</code> for generic detectors or a more specific type like <code>text/plain</code> or <code>application/zip</code> for detectors that can only distinguish between subtypes of that base type. * @since Apache Tika 0.8 @param context parse context @return immutable set of media types */ Set<MediaType> getSupportedTypes(ParseContext context);,Nick; awesome job! Comments below: I think the only bit left for now is to document it. We don't currently have a Detection section in the documentation. Shall I create a new one; put in the basics from one of the apachecon Tika talks; then add a section on container aware detection? Yep; I would do this. I would just add some APT documentation and create a section called 'Detection'; with some useful information on there. You could also then from that APT page; link to the page on the Wiki where the discussion on container Metadata occurred too: http://wiki.apache.org/tika/MetadataDiscussion Cheers; Chris,I've added support for OOXML files (detection + container re-use); as well as Jar files I believe the only zip based container format we can't currently detect with this is iWork. I've figured out how to tell it's an iWork document; but not how to tell which iWork document subtype it is. I think the only bit left for now is to document it. We don't currently have a Detection section in the documentation. Shall I create a new one; put in the basics from one of the apachecon Tika talks; then add a section on container aware detection?,Nick; awesome!,As no-one has objected; I've committed this initial code in r980058. With this commit; OLE2 based detection should be complete; and some Zip based detection is there; but some still remains to be added.,Patch which implements limited ole2 and odf detection by parsing the containers. May not be the best way to do it however...
28338,,,,,,,,added fixVersion,reopened for fixVersion,This problem won't be fixed. First; the encoding is not yet linked to the engine nor to the launching. Second; UIMA-2256 will make this change redundant.,,,,,,,,,,,,,,,,,,,
61104,,,,,x,x,,I hope someone can fix this; but I know that at this time it's not something I can tackle without generous hand-holding. If there are no takers soon; I'll go ahead and close the issue. This is part of an effort to close old issues that I have reported. Search tag: elyograg2013springclean,I just thought of a localparam syntax for this: {!cache=nowarm},I never actually answered your first question. Yes; I do want most entries in the filter cache to be usable for autowarming. Most users have relatively few boolean clauses in their filter queries. Employees are the common exception. We get a few hundred boolean clauses in ours. Plans are being discussed to greatly reduce that; but I'm not sure we'll ever get away from it entirely.,I would like to have our application code tag those nasty employee filters with something that makes them ineligible for autowarming; but still eligible for caching; which would keep them around until the next commit. I am pretty sure our code is capable of knowing that the user is a special user; typically admin or system. An update cycle runs once a minute for the index as a whole; but changes are tracked on a per-shard basis. Commits on each shard are only done if something on that particular shard actually changes. The large shards where this is a problem typically go several minutes between commits; and that might extend to an hour or more. I will talk to our developers about using the cache=false localparam for now; but I am hoping for the ability to use the cache for those nasty filters but not include them for warming. Having recently toyed with the cache code ( SOLR-2906); I know this may not be trivial.,Are there other auto-warming queries you want to have done? Because it almost sounds like you just want to turn off autowarming in the filter cache. Or if they're unlikely to be re-used anyway; would it work to set cache=false on the original fq?,I don't think I can implement this. My knowledge of Solr internals simply isn't strong enough.,,,,,,,,,,,,,,,,
70014,,,,,,,,Marking resolved; feel free to reopen if needed,Thanks for your contribution! I'm not a fan of thread locals at the framework level if we can avoid them; so I implemented a different mechanism in revision 1084217; using optional interfaces. The SlingRemoteExecutionRule class is a RequestCustomizer which does nothing by default; but if you want to use thread locals in your project inheriting your own rule class from that one should work. Please let us know if this works for you; and I'll close this issue if it does.,The patch provides one possible approach based on passing the Request object to a RequestProcessor. The RequestProcessor instance is obtained from a ThreadLocal which can be specified by the TestCase in the Before execution phase depending on the testcase being run,Patch for supporting addition of credentials based on a ThreadLocal request processor,,,,,,,,,,,,,,,,,,
