id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61272,,x,,,,,,Thanks Alexey; Mark. I took the latest patch from Alexey; incorporated Marks suggestion and committed this to trunk.,I updated Sami's patch to store dataimport property file under collection directory in zk and name it after data import handler (the same way it is stored in local filesystem),Took a look at the patch and it looks good to me - only thing I might suggest is using CoreContainer#isZookeeperAware rather than comparing the zkController to null; but pretty minor stylistic thing.,Nice Sami! I was going to take the same approach. Longer term I think we want to add a write api to solrresource loader. If something came from the classpath; it would still be written to the conf area and later that would override a new read...,Here's a stab at fixing this issue. I noticed there were two places where DIH wanted to access conf dir: the config file (read) and some kind of state file (read/write) access. I added ZKPropertiesWriter that writes the contents of the state file into zk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18059,,x,,,,,,This was probably fixed by WODEN-86 which introduced support for the curly brace syntax in the http location template. This JIRA can now be closed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15084,,,x,,,,,Hellow; I have the same problem after i haved updated my libs. I'm developping a application based on struts 2.0.1 beta. It works just fine before i replace libs by 2.0.5. Original config of my application is from Struts 2 blank; so i've check all config files; and i find that web.xml in 2.0.5 doesn't have these lines : <listener> <listener-class>org.springframework.web.context.ContextLoaderListener</listener-class> </listener> so; i've deleted these lines and my app works.,Thanks for the update,Sorry for the delay; had to send in my laptop and therefore couldn't be online. Anyway; it seems that the problem is fixed; I had another; older version of struts lying in my path and that caused the conflict. Sorry to bother you!,Could you also tell us on what platform and application server you are using?,Could you provide a list of jars you were using and perhaps a stripped down version of your app? Vinny's problem was due to an old xwork 2 jar; which didn't contain the proper files; IIRC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29404,,,,,,x,,To be consistent with the preferred syntax in JIRA-1146; we will adopt the following syntax: <remoteAnalysisEngine remoteReplyQueueScaleout='nn1' > .... </remoteAnalysisEngine> I will start to do the work based on the above syntax if there is no objection ‰ÛÒ Tong,This change requires a change to the deployment descriptor. This change adds to the <replyQueue ...> the attribute concurrentConsumers='nnn'; and deprecates the location=[local | remote] for remote delegates. The change being done is to always use remote reply queues for remote delegates (see discussion above). Change dd2spring.xsl and also change the documentation for uima-as to correspond to this change.,Testing after the patch is done. Work properly.,For testing,Applied patches; Tong; please test.,I think Eddie is probably right that increasing the number of listeners should eliminate my need to set a prefetch > 0. A thread that's being used to execute prefetch isn't doing anything that an additional listener thread wouldn't also do; as far as I understand it. So I'm +1 to proceed with the plan as Eddie outlined it.,Thanks; Eddie. Let me clarify my statements a bit ... >>>The capability to add listeners for a remote reply queue should give equal or better performance than setting a prefetch value in most cases. Can we see if a single tuning parameter is enough before adding more complexity? Note that prefetch is not part of the JMS standard and is not available in all JMS implementations. +1 to avoiding more tweaking/tuning parameters whenever possible; in favor of something that just always works well. >>>> are there use cases where the remote delegate would be able to get requests from the remote broker; but possibly not be able to send it replies? (e.g.; due to firewall issues?) >>>Yes; when the client is behind a firewall; but the remote delegate [service] and it's broker are outside the firewall. This is one of the motivations for always allocating the reply queue on the service's broker (the other main one being to eliminate the need for a colocated broker to instantiate a local reply queue; again something not possible with many JMS implementations). Well; I meant the other way 'round. So let me try again - are there use cases where the remote broker serves the remote delegate new work OK; but for some reason can't host the reply queue? >>>>>There should only ever be one listener pulling messages off of the reply queue. >>>It is sometimes desirable to have more than one thread doing deserialization of reply messages; which is the original point of this issue. Yes; true - I meant one listener process (perhaps with mutliple threads though). So there's no need to worry about 'load balancing' due to prefetch > 0 - or is there? Not sure how these threads for multiple concurrent listeners interact with prefetch. >>>>>>>Is there a penalty for setting up the prefetch value to something high? >>>>The main problem for UIMA is memory management; as serialized XmiCas messages can be quite large. So this; together with comment above about prefetch and testing if it's needed tell me the decision to support prefetch is not yet figured out... but that we should lean toward avoiding adding this complexity if it can be shown it isn't needed. Adam - can you do a test or offer an opinion here?,The capability to add listeners for a remote reply queue should give equal or better performance than setting a prefetch value in most cases. Can we see if a single tuning parameter is enough before adding more complexity? Note that prefetch is not part of the JMS standard and is not available in all JMS implementations. >are there use cases where the remote delegate would be able to get requests from the remote broker; but possibly not be able to send it replies? (e.g.; due to firewall issues?) Yes; when the client is behind a firewall; but the remote delegate [service] and it's broker are outside the firewall. This is one of the motivations for always allocating the reply queue on the service's broker (the other main one being to eliminate the need for a colocated broker to instantiate a local reply queue; again something not possible with many JMS implementations). >There should only ever be one listener pulling messages off of the reply queue. It is sometimes desirable to have more than one thread doing deserialization of reply messages; which is the original point of this issue. >Is there a penalty for setting up the prefetch value to something high? The main problem for UIMA is memory management; as serialized XmiCas messages can be quite large.,Good points; Adam; to consider. Here are a couple of others (from reading our docs): are there use cases where the remote delegate would be able to get requests from the remote broker; but possibly not be able to send it replies? (e.g.; due to firewall issues?) Would it be possible to set the prefetch value for reply queues to be some fixed number (e.g.; 1 or 10 or ... ?) There should only ever be one listener pulling messages off of the reply queue. Is there a penalty for setting up the prefetch value to something high?,If you require the reply queues to be remote; please also allow me to set a prefetch value for them. I usually use a prefetch of 0 on my aggregate AS services; for better load balancing; but in some tests I've run; I found that local reply queues are faster; presumably because when a thread is ready to deserialize a CAS; it doesn't have to sit idle while retrieving the xmi from the broker. I'd like to be able to set a higher prefetch value (at least 1) for the reply queue. Speaking of which; prefetch needs to be settable in the DDE.,The deployment descriptor currently has: <remoteAnalysisEngine key='key name'> <!-- 0 or more --> . . . <replyQueue location='[local|remote]'/><!-- optional--> Some possibilities: a) if the location= is specified and is 'local'; give a message 'local reply queue no longer supported' b) We could force the local option to be remote - would this be a good idea? or should we just give an error message and force the user to update the descriptor? c) To support specifying tne number of concurrant consumers of the reply q; I propose adding an attribute to the replyQueue: 'concurrantConsumers' with a defualt value of 1. I'll proceed with this design / impl with the error message if the user says 'local'; unless other voices speak up,Along with this change; all reply queues for remote delegates will be deployed on the same broker as the delegate's input queue. Using remote reply queues for remote delegates will simplify message memory planning for a service; simplify the documentation and the CDE interface to the deployment descriptor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,,x,,,,,,Fixed; closing,Should be fixed for win32 with revision 156722.,Looks like this applies to xsdtree as well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3908,,x,,,,,,I fixed this in the ActionTag a while ago...,The patch as attachment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38439,,,,,,x,,Appled patch with some changes to compile with the new public rendering API.,Patch including the new selectors as well as its documentation.,Removed the patch for 10 minutes. Adding the selector documentation to it before uploading it again.,Fix including new selectors and skin properties,The selectors proposed looks good but I assume they're only a proposition right? Because I cannot get them to work and cannot find the reference to them inside code. However; after rethinking about it; I believe disabled should be handled differently. There should be 3 disabled hook set; one for unvisitied; one for active and one for visited stations; else the result might become strange when the user wants to make the active step disabled.,This file specifies all the skin selectors for the train component.,ADFFACES-66 is solved :),Issue 66 needs to be resolved before more skin selectors are added to processTrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15698,,,,,,x,,I believe this is an issue. I have an action saveAction which I want to chain to editAction whenever there is a validation error. This is often necessary because a JSP will be displayed which has dynamic content such as a selectable list of items. However; if editAction has validation support; it will never be executed (even if it would validate successfully).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20061,,x,,,,,,Fixed with r1097472.,Link with WICKET-3500. Seems to be the very same problem. It has been fixed only in 1.4.x,This specific bug is fixed but stripping comments causes IE conditional comments to become broken/cut. It would be good to test WICKET-3433 with getMarkupSettings().setStripComments(true);,A patch fixing the problem. Please review.,I added a unit test demonstrating the problem: org.apache.wicket.markup.MarkupParserTest.wicket3648testCommentsWithNestedElements() Remove the prefix 'wicket3648' to run it.,_¢he problem is that there is an inner tag and the RawMarkup for the opening comment has no knowledge about the closing tag.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70014,,,,,,x,,Marking resolved; feel free to reopen if needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
