id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,
23562,,,,,x,,,Rolled back the change to Resource and included a FIXME that notes we don't cover all cases. But that doesn't lead to very serious problems anymore as it least the exception isn't thrown up in ComponentResourceRequestTarget anymore.,that change in ComponentResourceRequestTarget is fine But code that tries to not throw an exception at all should be back in. And improved for other situations/setups. It is pretty easy testing if you can test it in a debugger. Just set a break point in the respond method. And hold the break there. Then press the stop loading button of the browser. Then when you write again. Some kind of abort/reset socket exception should be thrown.,We can put that checking code in back again; and extend it with the cases for unix variants. What we should not put in is re-throwing of exceptions that aren't caught in that algorithm. They were ultimately caught by Wicket and Wicket tried to render an error page for it. Which doesn't make sense/ work for resource requests in the first place.,see http://www.nabble.com/Re%3A-svn-commit%3A-r482863---in--incubator-wicket%3A-branches-wicket-1.2.x-wicket-src-main-java-wicket--branches-wicket-1.2.x-wicket-src-main-java-wicket-request-target-resource--branches-wicket-1.x-wicket-src-main-java-wicket--branches-wicket-1.x-wicket--tf2770886.html,,,,,,,,,,,,,,,,,,,,,
77849,,,,,,,,Confirmed with Dave that this can be closed.,,,,,,,,,,,,,,,,,,,,,,,,
23248,,,,,,,,Fixed in trunk (r555005).,,,,,,,,,,,,,,,,,,,,,,,,
22766,,X,,,,,,Fixed and I've tested it.,Everything works great now. Thanks.,Can you plese give it a try now? Hopefully the second attempt will work :),Sorry; overlooked that. Will commit it soon.,In the removePage() method you removed the indicesList.toArray() so I now get a ConcurrentModificationException because the code tries to iterate through a list at the same time it's removing items. You could use something like this public void removePage(int pageId) { if (idToWindowIndices == null) { rebuildIndices(); } List indices = (List)idToWindowIndices.get(pageId); if (indices != null) { Object[] indicesArray = indices.toArray(); // Make a copy of the list so we don't get a ConcurrentModificationException for (int i=0; i < indicesArray.length; i++) { int index = ((Integer)indicesArray[i]).intValue(); PageWindowInternal window = (PageWindowInternal)windows.get(index); if (window.pageId == pageId) { removePage(window.pageId; window.versionNumber; window.ajaxVersionNumber); } } } } The other alternative would be to pass the iterator through to the removePage() method so it can call Iterator.remove() but this seems a lot more complicated. Also the list should never really be that big so copying it to an array shouldn't impact performance.,Hi; thanks for the bug report. I wish we had more reports like this. I've attempted to fix the issue; can you plese test if the current trunk works for you?,,,,,,,,,,,,,,,,,,,
23785,,,x,,,,,I just put this in branch-0.8 too. In fact; it's probably worth putting everything in branch-0.8 at the moment unless it's a major or incompatible change.,,,,,,,,,,,,,,,,,,,,,,,,
36622,,,,,,,,Proposed patch.,,,,,,,,,,,,,,,,,,,,,,,,
60669,,,,,,,,committed to 4.x and 5.x,,,,,,,,,,,,,,,,,,,,,,,,
38291,,,,x,,,,I should have marked this resolved back in September.,,,,,,,,,,,,,,,,,,,,,,,,
14921,,,,,X,,,Makes sense to me.,,,,,,,,,,,,,,,,,,,,,,,,
34486,,,,,X,,,Odd that you can't get the attached to build as it builds fine for me with the current latest code; never mind because I've tried it for you and yes this has fixed the problems and it now works. Thanks Jim! (Side note; I agree 100% about moving all the non-Java container specific tests out of the java container project),,,,,,,,,,,,,,,,,,,,,,,,
