Sentence,Label
"I'd rather do the logging fix separately, and not in 2.9.2To avoid the potential to miss any warnings, we can add a warning in the 2.9.2 release note to not run the upgrade in batch mode.",0
"Yeah, I used that in other places. You're right it doesn't make much of a difference: no difference for norm and about 20% or 20k for the language tables.I've simplified the code and also now use NewFormattedFileWriter in all the other places where I'm used go/format before. See the diff of language/table.go to see how it is affected (will first do the IANA update separately).Unfortunately, this increases the diff a lot. Again in language/tables.go. But you can verify the data itself didn't change by looking at the checksum at the bottom.",1
Removed.,0
That can hide an error and keep you searching for dogs a whole week while the problem was really a cat ( ch ).,-1
"In general, how expensive is locking in Java? Specifically in my case: I have a multi-threaded app in which there is one main loop that takes objects off a DelayQueue and processes them (using poll()). At some point a different thread will have to remove errant elements from the queue (using remove()). Given that the remove() is relatively uncommon, I am worried that locking on each poll() will result in slow code. Are my worries justified?",-1
"(HDFS-2438)- throw FileNotFoundException if getFileStatus on non-existing file.",0
"I know, in your webapp this condition might be fulfilled, but GroovyShell is not special to web applications. ",0
"@Michael - trying to see if I understand your point.The general idea requires extracting this logic.Do you think executeCommand() will look better like this?protected void executeCommand() {   disconnectStorage();   setSucceeded(true);}",0
"I also rename the references in droids-spring.Commited revisions: r985451 r985452",0
"IMHO multi-core processors are still so rare, and threading is such a horrible and hairy and dangerous place to go, that you're just better off sticking to one thread.",-1
"uploading the patch for commit to internal branch, it has review comments from sreekanth and cos implemented. ",0
Horrible discovering !!!!,-1
"Entering an invalid object size limit results in displaying an 'Internal Server Error'. If possible it should display a proper error message, saying that the limit is invalid.",0
I can't seem to find the answer to this anywhere... I have a function that needs to set the bg color of two tables. Only the first table in the function is being affected. Is only one for loop allowed in a function? ...or is the 1st for loop maybe never exiting? I can pretty much work around this by creating multiple functions but I really want to understand why this behaves the way it does! Thanks! Here is my simplified code:,0
should be a local typedef in the single function that uses it,0
"I did not make comments on all of these before because it was the same comment every time. Unless there is a good documented reason, these should all be set to ignore.",-1
"most recently computed K partitions), but I switched to the model with K-1 partitions always in memory and 1 slot for loading out-of-core partitions, because it made the logic slightly simpler.",0
"I'm not a big fan of this.  Not that multiple assignment is necessarily bad, but instance and vm_ref are different and should have different data.",-1
