Sentence,Label,group
Assign to 1.0 during tidy up prior to 1.1,0,1
this will be tackled when we improve ajax; most likely in wicket.next or the version after that.,0,1
Closing since Whirr was updated to jclouds 1.5.0 in WHIRR-659.,0,1
added fixVersion,0,1
Oppss... sorry late reply.... Thx for handling this issue Claus. I prefered it to be the way it is now; document this behaviour as Claus already did. I think there might be both behaviour have its particular usage; if we want to have a param that is a string; it makes sense to use <param>...</param>; anything in between that's enclosed with %{} will be evaluated and its toString() called. On the other hand; if we want an object; we could used the value attribute. I guess what i'm trying to say is that both way of using param have their own usage. Of course this is just my 2 cents,-1,1
Bryan; I agree on the folder structure change. This surely will break existing code. For your other point; it isn't really necessary that's right but in my opinion it fits much better in the Rails 'convention over configuration' principle. FYI; we are using those changes successfully in all our thrift sub-projects (we are having 5 of them).,0,1
Marking as Resolved in 4.2.0 _x0089_ÃÃ I couldn't reproduce it even there. Will close once we create a regression test; or a full-blown test for the utility.,0,1
Assign to 1.0 during tidy up prior to 1.1,0,1
It is just resolved in 2.0 and the changes for 1.x have been committed at the same moment. The dot: you'll find that the xml parser is not a general purpose xml parser complying to all details of xml. It doesn't have to. It just implements what is sufficient for Wicket. If only if there is a real need to implement an additional detail; than we'll do it. The dot; though in the spec; is nowhere used. So why bother and implement,0,1
You miss some logic: var e = Wicket.$(id); available++; if (e === null) { i.e. if there is an entry for a date picker in the DOM but there is no HTML element for it then the DOM entry is deleted too.,-1,1
Integrated in Thrift #533 (See https://builds.apache.org/job/Thrift/533/) Thrift-1701:node.js TBufferedTransport buffer corruption Patch: Marshall Roch fix buffer copy method calls (Revision 1389517) Result = SUCCESS,0,1
Committed in rev 983396,0,1
Closing this one since it doesn't fit in with the current caja integration anymore.,0,1
Venu committed your patch. It's in Xerces 2.6.0. Please verify.,0,1
Bug Flavio more? Seriously; discuss with Flavio and come up with a patch & test that is deterministic. Another option would be to refactor to allow the code in question to be tested as a true unit test; rather than as a system test (we need to work on that in general in ZK). Mockito?,-1,1
This bug was modified as part of a bulk update using the criteria... Marked ('Resolved' or 'Closed') and 'Fixed' Had no 'Fix Version' versions Was listed in the CHANGES.txt for 1.2 The Fix Version for all 39 issues found was set to 1.2; email notification was suppressed to prevent excessive email. For a list of all the issues modified; search jira comments for this (hopefully) unique string: 20080415hossman2,-1,1
Very nice; thank you! Your pom works perfectly... I didn't think of adding the version tag there and ended up exporting * and then later add !org.w3c.dom and !javax.xml to prevent errors...,1,1
This was fixed by having all the items in the action chain having their properties copied over to the new action.,0,1
Reviewed and tested. Looks good so far; so I am closing this issue.,1,1
Closing resolved issues,0,1
patches applied,0,1
By the way; from my point of view 'Resolution: Fixed Fix Version/s:1.4.16' is much more suitable here than 'Resolution: Cannot Reproduce',0,1
This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).,0,1
This is now fixed!,1,1
After the changes the error no longer appears in nightly build results. Closing as Fixed.,0,1
used struts for 2 years now - no clue whether it has been fixed,-1,1
46fa49e75e79c4bf7351bbdc0653130f4e01dfb0 TS-1558: use_client_addr breaks control over upstream HTTP protocol version Thanks Uri!,1,1
committed,0,1
